Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Tk,d,z0,ra,esat(T),e,D,delta,LH,psy_const,LW_up,SM,Cfinal,Rn,gR,gD,gT,gSM,gs,rs,Cinterim,Cactual,Dcanopy,lambdaEl (C=S),lambdaEl (C=Cactual),lambdaET,lambdaE,H,dCdt,Ts
113.5,17.5,301.35921120210173,299.32047512074155,19.858158836281113,4.008179480844969,0.002505865027030343,0,293.02815883628114,14.644150276223268,1.6067549171330193,14.90048330188723,2.317828943792386,0.4077066571309819,1.910122286661404,0.1436325002615109,2.45411488698754,67.15907150244787,423.80114706771496,0.0,0.0,140.71543391087613,0.7213013052566533,0.48291523384496016,0.9999980176998483,0.0,0.0001,10000.0,0.0,0.0,0.0,22.584556159898668,2.3732465618961345,20.21484812917074,22.588094691066875,118.12733921980926,-2.3732465618961345,294.4408141910923
114.5,18.5,98.94292650391611,289.2555458035816,17.533429320739735,3.8725874217250142,0.002254985245991979,0,290.70342932073976,14.644150276223268,1.6067549171330193,15.422198370590685,2.0042112015522955,0.3668882747498204,1.6373229268024752,0.1264744041184845,2.4596035733737334,67.0092038223651,411.4624249731754,4.440904479037045,0.0,-35.13710384614765,0.3971711697387962,0.5482775624376676,0.9868144077879053,0.0,0.0001,10000.0,0.0,0.0,0.0,-2.473567703003969,1.9703765683868657,-4.440904479037045,-2.47052791065018,-32.66657593549748,-1.9703765683868657,290.2990999006279
115.5,19.5,0.0,283.874066166457,16.265467195831306,4.0378458168841425,0.002275861104120768,0,289.43546719583134,14.644150276223268,1.6067549171330193,14.791008407394852,1.8493481032642691,0.3702847970048581,1.479063306259411,0.11787193309144138,2.4625972319506424,66.92774402246279,393.70266074480224,12.942959261864395,0.0,-109.82859457834525,0.0,0.5874925019928982,0.9682352647200138,0.3575651357202121,0.0001,10000.0,0.0,0.0,0.0,-11.087334623377673,1.858374128288079,-12.942959261864395,-11.084585133576317,-98.74400944476893,-1.858374128288079,288.26328806608115
116.5,20.5,0.0,277.5706846396965,14.75715535660715,3.3470718502574823,0.002174619953259368,0,287.92715535660716,14.644150276223268,1.6067549171330193,17.84360004721831,1.6788660443380303,0.3538127640994342,1.3250532802385961,0.10829039509892523,2.4661583562030502,66.83110058843599,377.2417333843549,10.790951244438844,0.0,-99.67104874465844,0.0,0.6265682006807011,0.9356656180600014,0.7254701619179571,0.0001,10000.0,0.0,0.0,0.0,-9.411176597204447,1.38224065127885,-10.790951244438844,-9.408710593159993,-90.26233815149844,-1.38224065127885,286.6345245479312
117.5,21.5,0.0,275.03933265445977,14.144203582992942,3.5438939858150773,0.002177310740334777,0,287.31420358299295,14.644150276223268,1.6067549171330193,16.852595383595066,1.6136260934157,0.35425055775221775,1.2593755356634824,0.1045903473128523,2.4676055353405535,66.79190608464565,367.76485290370096,9.69584898586454,0.0,-92.72552024924119,0.0,0.6435062186080369,0.9191792977608744,0.6595525586055213,0.0001,10000.0,0.0,0.0,0.0,-8.306321264866073,1.3918731027669817,-9.69584898586454,-8.303975883097559,-84.42154436614362,-1.3918731027669817,286.1723628548484
118.5,22.5,0.0,268.7905647440155,12.612779516590134,3.0038845938840635,0.0021028929618778173,0,285.78277951659015,14.644150276223268,1.6067549171330193,19.882192394107186,1.4602522387717765,0.342142713411632,1.1181095253601445,0.0958126617429965,2.4712212275613306,66.69418153754816,362.42763317742686,8.969532047437841,0.0,-93.63706843341134,0.0,0.6804935850177564,0.8697793212346234,0.6201520722867688,0.0001,10000.0,0.0,0.0,0.0,-7.922501450779013,1.0491153136372442,-8.969532047437841,-7.920416733800597,-85.71665169961075,-1.0491153136372442,284.41500372346957
119.5,23.5,0.0,268.2103855299079,12.469241538284335,3.209706855237007,0.002301648476008262,0,285.63924153828435,14.644150276223268,1.6067549171330193,18.607247988348593,1.446555644200248,0.3744804272862317,1.0720752169140164,0.09502309859252055,2.4715601207281104,66.68503662450418,356.8617538145608,8.421928294001425,0.0,-88.6513682846529,0.0,0.6927104685511004,0.8645480871707037,0.5915364521221607,0.0001,10000.0,0.0,0.0,0.0,-7.348921767522995,1.075005941351426,-8.421928294001425,-7.346922352649999,-81.3044459320029,-1.075005941351426,284.42506486912004
120.5,0.5,0.0,271.6218839709836,13.309940825751685,2.4081569794941773,0.0020957111801376566,0,286.4799408257517,14.644150276223268,1.6067549171330193,24.80063049620719,1.5284088457437643,0.34097423059474413,1.1874346151490203,0.0997274946119927,2.4695752297104003,66.73863391063632,352.49048866865485,8.062611927585381,0.0,-80.86860469767123,0.0,0.6622475914890787,0.8937220709107523,0.5685450716796023,0.0001,10000.0,0.0,0.0,0.0,-7.172266780536415,0.8925565587299606,-8.062611927585381,-7.1700553688554205,-73.69854932881582,-0.8925565587299606,285.01301854707333
121.5,1.5,0.0,263.36639335172583,11.261642771974817,2.3809043890289567,0.002233440080046837,0,284.43164277197485,14.644150276223268,1.6067549171330193,25.084506417183608,1.3357198800783676,0.3633828554674275,0.9723370246109402,0.08859702169560484,2.4744112614153675,66.60819878266433,353.9773676005093,8.026048130064787,0.0,-90.61097424878346,0.0,0.7194558799435972,0.8164581360323728,0.5527603019122287,0.0001,10000.0,0.0,0.0,0.0,-7.303725266037956,0.7241371853414035,-8.026048130064787,-7.301910944723383,-83.30906330406007,-0.7241371853414035,282.7544489477385
122.5,2.5,0.0,265.08968187412637,11.693150098422752,2.3543674163000277,0.002373252306001063,0,284.86315009842275,14.644150276223268,1.6067549171330193,25.367243452237197,1.3744359676691622,0.3861304394972791,0.9883055281718831,0.09084931696371822,2.4733924726176237,66.63563465768576,349.8725991396419,7.700626817688535,0.0,-84.78291726551555,0.0,0.7151484113745188,0.8344791841980057,0.5511220304897808,0.0001,10000.0,0.0,0.0,0.0,-6.974968003466033,0.7275021202974865,-7.700626817688535,-6.973124697391048,-77.80979256812451,-0.7275021202974865,283.2790122232843
123.5,3.5,0.0,262.79542418889525,11.11820646078951,2.2108062575718757,0.0022659197288146414,0,284.2882064607895,14.644150276223268,1.6067549171330193,27.01449356801262,1.3230643172470098,0.3686673256528002,0.9543969915942097,0.0878589617887191,2.474749914546076,66.59908389193698,345.5869551522067,7.27219720851709,0.0,-82.79153096331146,0.0,0.724306722314295,0.8102616333254266,0.5362743066844787,0.0001,10000.0,0.0,0.0,0.0,-6.613883659673519,0.6600942956616174,-7.27219720851709,-6.612102912855473,-76.17942805045598,-0.6600942956616174,282.63654900841516
124.5,4.5,0.0,263.8170096786433,11.374680009419627,2.167354911985667,0.001960686243735939,0,284.54468000941966,14.644150276223268,1.6067549171330193,27.556082806290497,1.3457681145594054,0.3190055431930499,1.0267625713663555,0.0891823789088741,2.4741443804977603,66.61538367346998,345.30000468136194,7.2649321383944665,0.0,-81.48299500271867,0.0,0.7048144767717469,0.8212689096422313,0.5159751927125162,0.0001,10000.0,0.0,0.0,0.0,-6.5708436461366055,0.6960036888257446,-7.2649321383944665,-6.5689284495687215,-74.91406655314995,-0.6960036888257446,282.88789446435544
125.5,5.5,64.50201187785449,263.0746237605701,11.188374895300711,2.2495337146303425,0.002356199272089442,0,284.3583748953007,14.644150276223268,1.6067549171330193,26.549418235819456,1.3292421377624921,0.38335589442998635,0.9458862433325057,0.08821935996823818,2.474584246872195,66.6035425460826,344.3441588340198,1.514646745460676,0.0,-24.507764620937785,0.2926345009775176,0.7266122382181087,0.813305788874577,0.5156234175278172,1.3375375742451572,0.7476425479593368,0.0,0.0,0.0,-1.4964394574917024,0.6656198516196605,-1.514646745460676,-0.8490268938410155,-23.65873772709677,-0.6656198516196605,283.8542571071577
126.5,6.5,188.80843499311828,262.84031083404363,6.681131419429945,2.2286417091514075,0.0016071420633555036,21,279.85113141943,14.644150276223268,1.6067549171330193,26.798301036929946,0.9801325954197945,0.26148356400575073,0.7186490314140437,0.06747521927697415,2.4852258487187258,66.3183498012424,347.32521714814203,17.0,0.0,81.66651647984568,0.5827294410311652,0.7891874195325832,0.5677681376272461,0.13917502178035068,0.5450931039476694,1.8345489839401876,21.0,4.0,17.0,6.013791432555884,6.013791432555884,5.981573315538076,6.013791432555884,75.6527250472898,-2.013791432555884,281.47824279278075
