Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Rn,SM,lambdaE_SVAT (W m-2),Eta_SVAT (mm),Tk,ra,esat(T),e,D,delta,LH,psy_const,PET (mm),lambdaETa Typ Hydro (mm)
0.5,0.5,0.0,269.1307939,12.69684511,2.429278261,0.002443526,0,-80.86920612,39.9999734,0.018254833,0.000638919,285.86684511000004,85.62213861592697,1.468326656208969,0.3975640372990354,1.0707626189099335,0.09627767214269767,2471022.7486952897,0.06669953858475872,1.2544951826658326,1.2544943484265363
1.5,1.5,0.0,271.0083791,13.15934049,2.393032023,0.002029475,0,-78.99162086,39.99994379,0.02031527,0.000711034,286.32934049,86.919020723861,1.5134538394605939,0.3301975401929261,1.1832562992676678,0.09887048582972023,2469930.79710311,0.0667290263207879,1.4604030343582906,1.4604009821269266
2.5,2.5,0.0,265.3830894,11.7664089,2.329627037,0.002357537,0,-65.73008135,39.99991947,0.016713721,0.00058498,284.9364089,89.28467806067964,1.381105931858322,0.38357354405144695,0.9975323878068751,0.09123650209430488,2473219.5085870996,0.0666402948052816,1.3198629771599242,1.3198603199457855
3.5,3.5,0.0,265.0976442,11.69513895,2.306167636,0.002193274,0,-66.02021444,39.99989453,0.017133737,0.000599681,284.86513895,90.19292299183059,1.374616671450767,0.3568477954983923,1.0177688759523749,0.0908598098603159,2473387.77693905,0.06663576116414174,1.3486586692360618,1.3486551131603157
4.5,4.5,0.0,265.2115654,11.7235897,2.213614468,0.00214492,0,-64.34885382,39.99986929,0.017338765,0.000606857,284.8935897,93.96396843571769,1.3772039455084706,0.34898055305466236,1.0282233924538082,0.09101002503594433,2473320.6047183,0.0666375709060936,1.3133049395078444,1.3133006479556284
5.5,5.5,98.9429265,261.0616766,10.6812249,2.229827945,0.002264749,0,8.158417245,39.92475154,51.65976181,1.808091663,283.85122490000003,93.28073964917505,1.2851559868585627,0.3684768469453376,0.916679139913225,0.08564266953369888,2475781.6280111,0.06657133056715576,2.240736667529029,2.236521367941602
6.5,6.5,301.3592112,264.8531205,11.63404052,2.304425711,0.002226103,0,165.0014074,39.75642501,115.655852,4.047954821,284.80404052,90.2611001982524,1.3690748864836282,0.36218910546623795,1.0068857810173903,0.09053793430386797,2473532.03033228,0.06663187504722855,4.83295939555596,4.803529694644887
7.5,7.5,496.8783293,277.2756262,14.68592512,2.488462564,0.002493171,0,307.4726868,39.48158224,188.2922255,6.590227894,287.85592512,83.58574607835651,1.6711676958024908,0.405641326688103,1.2655263691143879,0.10785478536447612,2466326.53079168,0.0668265434899704,7.895012989298576,7.792690115571499
8.5,8.5,672.1759755,279.8312426,15.3010023,2.671194253,0.002143981,0,410.1427445,39.14803065,228.3785446,7.993249061,288.4710023,77.86779256746178,1.7386758196682448,0.3488277768488746,1.3898480428193702,0.11166586370382506,2464874.3335697,0.06686591479563454,9.978747969146731,9.766208283619537
9.5,9.5,815.3059047,288.5363664,17.36500894,3.09104937,0.002298908,0,503.3555464,38.75631752,267.6707672,9.368476851,290.53500894,67.29106368171661,1.9830083095347526,0.3740345491961415,1.6089737603386112,0.12530198021109462,2460001.2138926596,0.06699837229332752,12.405676687838936,12.019958619108694
10.5,10.5,916.5140484,295.693695,19.0273232,3.290883037,0.00269486,0,573.0582274,38.32961035,291.1181852,10.18913648,292.1973232,63.20492027866623,2.2011418116111,0.43845632154340836,1.7626854900676916,0.1372872396557164,2456076.4899247997,0.06710543333911574,14.243277001206298,13.648481439083849
11.5,11.5,968.9032387,301.16237,20.27721874,3.279418681,0.002670518,0,605.0027436,37.88722138,301.4543484,10.55090219,293.44721874000004,63.42587520315464,2.3787099792080735,0.43449585466237944,1.944214124545694,0.1469259642677687,2453125.48655486,0.06718615825963462,15.43023292498848,14.615216269350087
12.5,12.5,968.9032387,306.7354897,21.53359361,3.875385147,0.002585146,0,598.3839501,37.45964249,291.0100944,10.1853533,294.70359361000004,53.67208473743991,2.5696956298379656,0.4206057479099678,2.1490898819279978,0.15718545475524592,2450159.18548679,0.06726749761676112,16.138487849854855,15.11354962961929
13.5,13.5,916.5140484,314.9016868,23.343972,4.469563411,0.002596421,0,562.8799072,37.07046034,264.4152047,9.254532165,296.513972,46.536983788638764,2.8684210866230937,0.4224402012861736,2.4459808853369203,0.1730292358958156,2445884.882108,0.06738505085667414,16.68044386488607,15.458793318671383
14.5,14.5,815.3059047,312.5490242,22.82605268,3.651549922,0.002368271,0,484.2113595,36.68967182,258.8418071,9.059463249,295.99605268,56.96211319660003,2.7800147511178555,0.3853199762057878,2.3946947749120677,0.16836482100140432,2447107.68962252,0.0673513788826522,14.715682277954684,13.497838834638685
15.5,15.5,672.1759755,313.8511718,23.11306962,4.781854735,0.002333699,0,377.7266299,36.35135646,229.9069095,8.046741832,296.28306962,43.497766353623874,2.828708598432478,0.3796950784565916,2.4490135199758862,0.17093642271656112,2446430.04262718,0.06737003482569434,13.599208423027864,12.358741823983008
16.5,16.5,496.8783293,304.3749039,21.00354306,4.006202645,0.002527802,0,245.9692118,36.03734027,213.8285087,7.483997806,294.17354306000004,51.91949045802699,2.4875466969879443,0.4112758237942123,2.076270873193732,0.15278561606737404,2451410.63483534,0.06723315744344424,9.847505594981097,8.871947748426566
17.5,17.5,301.3592112,301.016301,20.24405605,4.593790565,0.002410999,0,114.3763394,35.78521169,171.8118852,6.01341598,293.41405605,45.27851173380605,2.3738416768333916,0.39227186302250805,1.9815698138108835,0.14666302632534603,2453203.7836659495,0.06718401392815594,7.855056713792003,7.027371683500063
18.5,18.5,98.9429265,286.9111022,16.98323497,3.632319464,0.002202182,0,-33.56979706,35.66173926,84.40378023,2.954132308,290.15323497,57.263685659120206,1.935671601250365,0.3582971356913183,1.5773744655590467,0.12267842080168352,2460902.58223583,0.06697383243048814,3.8933219390812286,3.4710657961688094
19.5,19.5,0.0,278.9049466,15.07855314,3.509760159,0.002243281,0,-92.42333973,35.66170527,0.023282263,0.000814879,288.24855314,59.263308766734454,1.7139898347909832,0.364983982636656,1.3490058521543271,0.110274552346592,2465399.5360364597,0.06685167039310282,2.4833710660905193,2.2140311758741444
20.5,20.5,0.0,274.0283628,13.89822066,3.847658286,0.002475948,0,-77.52632589,35.6616751,0.020683668,0.000723928,287.06822066,54.05885464330966,1.5880768136235506,0.40283912797427657,1.1852376856492741,0.10313601368453325,2468186.30102174,0.06677618991005263,2.637837373955664,2.351742484916102
21.5,21.5,0.0,276.196282,14.42487465,3.507025566,0.002078406,0,-71.1998064,35.66164171,0.022880408,0.000800814,287.59487465,59.30951915963307,1.643218139867179,0.3381586610932476,1.3050594787739314,0.10627103445921338,2466942.87095135,0.06680984756929474,2.757753405408394,2.458650346705163
22.5,22.5,0.0,272.6487277,13.56143584,2.986239239,0.002035324,0,-75.86472396,35.66161088,0.021143777,0.000740032,286.73143584,69.65282529394825,1.5536722339073286,0.3311491781350482,1.2225230557722804,0.10117274913678016,2468981.44998176,0.06675468427340174,2.1138301678791596,1.8845647228327915
23.5,23.5,0.0,269.7788904,12.85675993,3.09552062,0.002192721,0,-75.56322858,35.66158251,0.019469365,0.000681428,286.02675993,67.19386672992022,1.4837945876377279,0.3567578218649518,1.127036765772776,0.09716754949195597,2470645.1898052697,0.06670973147034862,2.0331428960571416,1.8126273285590528
24.5,0.5,0.0,265.693322,11.84380258,2.411089448,0.002467478,0,-73.99455401,35.66155844,0.016535464,0.000578741,285.01380258,86.26805619863508,1.3881832332533102,0.4014610508038585,0.9867221824494516,0.09164706715217716,2473036.7821086203,0.06664521868934298,1.2311199960549633,1.097591442149166
25.5,1.5,0.0,270.990207,13.15487577,2.335227417,0.002046259,0,-62.2904022,35.66152908,0.020142254,0.000704979,286.32487577,89.07055410783575,1.5130124485130607,0.33292831318327976,1.180084135329781,0.0988451747881726,2469941.33830703,0.06672874153496608,1.6617151140222652,1.4814825465345134
26.5,2.5,0.0,265.7151569,11.84924718,2.238834361,0.002305117,0,-67.28163038,35.66150435,0.016991552,0.000594704,285.01924718000004,92.9054885092502,1.3886823144855172,0.37504475948553057,1.0136375549999865,0.09167600933118351,2473023.9274080195,0.06664556510909381,1.2463824971578235,1.1111968711039395
27.5,3.5,0.0,262.4932595,11.04220342,2.207183468,0.002378468,0,-70.79130237,35.66148191,0.01542358,0.000539825,284.21220342000004,94.23774825047755,1.316401280939955,0.3869790379421222,0.9294222429978328,0.08747001280665326,2474929.35772538,0.06659425516770896,1.0483790612826387,0.93466877321884
28.5,4.5,0.0,260.021537,10.41801783,2.30485366,0.00230163,0,-65.93142662,35.66146028,0.01487771,0.00052072,283.58801783,90.24434115266129,1.2627863124167584,0.37447742122186495,0.8883088911948935,0.08433087906028348,2476403.0599033698,0.06655462506852548,1.1587780437892183,1.0330929295481328
29.5,5.5,98.9429265,266.9568321,12.15831193,2.191686139,0.002360926,0,19.91373405,35.57469591,59.58529571,2.08548535,285.32831193000004,94.90409976991691,1.4172725443255065,0.3841249376205788,1.0331476067049277,0.09333174153858351,2472294.2255332703,0.0666652356617738,2.580672181927832,2.2951657028869707
30.5,6.5,301.3592112,269.0343192,12.67301573,2.293972694,0.002220463,0,167.3987494,35.39178703,125.5506326,4.39427214,285.84301573,90.67239577176939,1.4660338964396167,0.3612714720257235,1.1047624244138932,0.0961456647662351,2471079.0098614697,0.0666980199794007,5.1072239763184815,4.518844582109336
31.5,7.5,496.8783293,272.2773913,13.47057008,2.485995047,0.002290695,0,295.2216703,35.1387917,173.5264079,6.073424275,286.64057008000003,83.66871054349289,1.5445025467541789,0.3726982861736335,1.1718042605805454,0.10064853279528269,2469195.98404112,0.06674888434764006,7.39441769092112,6.495772574601806
32.5,8.5,672.1759755,279.5161696,15.22539986,2.674098349,0.002445336,0,408.7818132,34.81220284,223.62744,7.8269604,288.39539986,77.78322741113215,1.7302512046245864,0.39785852604501615,1.3323926785795703,0.11119134392798824,2465052.83093054,0.06686107295647742,9.813777741528728,8.54098053411938
33.5,9.5,815.3059047,284.9939442,16.5308045,2.844240142,0.002292548,0,499.5124162,34.43102138,260.6826724,9.123893535,289.7008045,73.1302525861053,1.8808579617651089,0.3729997710610933,1.5078581907040156,0.11962977926994055,2461970.7705754996,0.06694477413795263,11.931428514983468,10.270281757333434
34.5,10.5,916.5140484,295.6386407,19.01465243,3.251131969,0.002628247,0,567.7688432,34.00735303,289.0484868,10.11669704,292.18465243,63.97771667939328,2.1994028053009345,0.42761832218649515,1.7717844831144394,0.13719233927821137,2456106.4056127695,0.06710461598641462,14.165401067541314,12.043194872885408
35.5,11.5,968.9032387,306.823007,21.553186,3.557649201,0.002689024,0,604.6981407,33.57622869,293.4175879,10.26961558,294.723186,58.465573261561154,2.5727770099716243,0.43750679871382636,2.135270211257798,0.15735011727531,2450112.9278539997,0.06726876761340826,16.132356361935855,13.541592162923367
36.5,12.5,968.9032387,304.80716,21.1008327,4.249976307,0.002692893,0,589.9211189,33.15593634,286.1701667,10.01595584,294.2708327,48.94144931053142,2.502450648450994,0.4381362887459807,2.0643143597050133,0.15358530261607575,2451180.9339952995,0.06723945788113496,15.806302745939384,13.101819190378334
37.5,13.5,916.5140484,312.2756266,22.76567701,4.167542171,0.002381664,0,557.1423203,32.76229965,267.5909669,9.36568384,295.93567701,49.90951296123069,2.7698654000616574,0.38749903022508037,2.382366369836577,0.1678280475512675,2447250.23657939,0.06734745581260518,16.24320429948572,13.304118163397987
38.5,14.5,815.3059047,307.9907934,21.81421689,4.560704241,0.002462054,0,477.6346304,32.38245319,258.4535028,9.045872599,294.98421689,45.606991597945196,2.614139557931055,0.4005785607717042,2.213560997159351,0.1595578731562327,2449496.6339227096,0.06728569245121835,14.491768727772817,11.731975561685227
39.5,15.5,672.1759755,308.6636986,21.96429191,3.916111345,0.002541616,0,374.0262057,32.03057791,239.386847,8.378539646,295.13429191,53.1139136954238,2.638182235619331,0.41352337491961416,2.224658860699717,0.16083898858394663,2449142.3068004902,0.06729542693896394,12.410988464506058,9.938278323811813
40.5,16.5,496.8783293,303.5134999,20.80935388,4.46518877,0.002342634,0,247.7246423,31.7197735,211.6810326,7.408836142,293.97935388,46.58257706762082,2.458030335853191,0.38114881157556274,2.076881524277628,0.1511999700692648,2451869.11548932,0.067220585360457,10.190830931512014,8.081271223108876
41.5,17.5,301.3592112,295.9653545,19.08981991,4.008395567,0.002470878,0,106.2016598,31.47567297,166.5259885,5.828409598,292.25981991000003,51.89108622721915,2.209736816222422,0.4020142340836013,1.8077225821388208,0.13775613550313448,2455928.93519249,0.06710946510245831,6.876459420316533,5.411029697633975
42.5,18.5,98.9429265,292.4741623,18.28335296,3.524443435,0.002650741,0,-28.01701037,31.3500668,85.75527651,3.001434678,291.45335296,59.01641034565221,2.1010497699841366,0.4312781176848875,1.6697716522992492,0.13180842410424543,2457833.0036614398,0.06705747580282759,3.967666216292071,3.109665023021492
43.5,19.5,0.0,279.9411918,15.32736983,3.822377235,0.00220992,0,-94.47581093,31.3500317,0.024030782,0.000841077,288.49736983,54.41639775776867,1.741622482362174,0.35955611575562707,1.382066366606547,0.11183176397793446,2464812.0798313697,0.06686760362749193,2.787164720063024,2.1844425581774356
44.5,20.5,0.0,277.7170816,14.79247605,3.496722731,0.002265003,0,-79.67262327,31.34999837,0.022833027,0.000799156,287.96247605,59.48427027284366,1.6826949193560687,0.36851817299035367,1.314176746365715,0.10850695337598573,2466074.96404595,0.06683336053175512,2.602026541065775,2.0393381955277197
45.5,21.5,0.0,270.5389254,13.04392838,3.352931672,0.002515477,0,-79.20632227,31.34997089,0.018859041,0.000660066,286.21392838,62.03526356859204,1.5020802030213651,0.4092705344051447,1.0928096686162205,0.09821796928906948,2470203.28509482,0.06672166544547829,2.0644709654503632,1.618027616752977
46.5,22.5,0.0,271.1969524,13.20565779,3.21615852,0.002221849,0,-73.46826684,31.34994163,0.020074177,0.000702596,286.37565779,64.67342909453356,1.518039530964847,0.361496975562701,1.156542555402146,0.099133389841377,2469821.44195781,0.06673198085112156,2.2048168309483027,1.7280219738767717
47.5,23.5,0.0,269.1887779,12.71116416,3.027559771,0.002039819,0,-71.57670303,31.3499129,0.019719188,0.000690172,285.88116416,68.7021944182122,1.469705886940371,0.33188051897106113,1.1378253679693098,0.09635706943682688,2470988.94141824,0.06670045114642269,2.0814738148156975,1.631350569952571
48.5,0.5,0.0,269.4312808,12.77102474,2.436243468,0.002413322,0,-70.52419299,31.34988618,0.018335297,0.000641735,285.94102474,85.37734538114728,1.4754840657533737,0.39264981736334403,1.0828342483900295,0.09668959259388812,2470847.6105888598,0.06670426636758006,1.4418039511444085,1.130009744056287
49.5,1.5,0.0,270.2339248,12.96886547,2.399144937,0.001989624,0,-65.98532233,31.34985706,0.019981815,0.000699364,286.13886547000004,86.69755494642715,1.4947232331949405,0.323713744051447,1.1710094891434935,0.09779554907188753,2470380.50862533,0.06671687887552663,1.6630228434368346,1.3033882107314883
50.5,2.5,0.0,266.6130069,12.0728387,2.353739493,0.002310174,0,-68.52190172,31.34983172,0.017406157,0.000609215,285.2428387,88.37001742061521,1.4093145378105747,0.3758675382636656,1.033446999546909,0.09287131349770526,2472496.0278292997,0.0666597945215372,1.3528915857605674,1.0603230887249435
51.5,3.5,0.0,264.6069465,11.57248695,2.20530085,0.002213568,0,-68.80085752,31.3498073,0.016778428,0.000587245,284.74248695,94.31819699339435,1.3635116761657133,0.36014964887459805,1.0033620272911152,0.09021464407342542,2473677.35831105,0.06662796043981634,1.195792765191228,0.9371968189869785
52.5,4.5,0.0,263.4085574,11.27222579,2.223423749,0.002032919,0,-65.08951246,31.34978266,0.0169379,0.000592827,284.44222579,93.54941904058973,1.3366578323239695,0.33075788231511255,1.005899950008857,0.08865168595790367,2474386.27490981,0.066608871396373,1.301582876808768,1.020108507548311
53.5,5.5,98.9429265,268.074487,12.43558619,2.245359492,0.002014352,0,17.71556268,31.25911604,62.2486686,2.178703401,285.60558619,92.63550034686384,1.4433605780182497,0.32773701350482315,1.1156235645134265,0.09483877374157211,2471639.58100541,0.06668289277976945,2.755888761080651,2.1536661643987975
54.5,6.5,301.3592112,267.9357276,12.40120915,2.260071553,0.002247546,0,163.6253504,31.08345319,120.6081973,4.221286907,285.57120915,92.03248442462034,1.440103397506484,0.3656779022508039,1.0744254952556802,0.09465081073656033,2471720.74519685,0.06668070310559776,4.957213148611441,3.852182571442906
55.5,7.5,496.8783293,276.9517565,14.60767407,2.491939056,0.002157302,0,297.5337418,30.81296021,185.3261047,6.486413665,287.77767407,83.4691360124499,1.6627462620627236,0.3509951163987138,1.3117511456640099,0.10737795739801075,2466511.28152073,0.06682153793709815,7.833376596079436,6.034238034123523
56.5,8.5,672.1759755,285.4967636,16.64968522,2.675134422,0.002352554,0,408.9806793,30.46824058,235.7202482,8.250208687,289.81968522,77.75310215794457,1.8951274283780863,0.3827628051446946,1.5123646232333918,0.12042454487175497,2461690.09319558,0.06695240705805752,10.385654806104561,7.910815730330675
57.5,9.5,815.3059047,285.3265165,16.60945161,2.836738493,0.002203048,0,489.7101308,30.0916987,257.4903318,9.012161614,289.77945161,73.32364280784623,1.8902875350095816,0.3584380347266881,1.5318495002828936,0.12015506689857439,2461785.08474879,0.06694982360218357,11.833784812617818,8.902467176548283
58.5,10.5,916.5140484,297.797178,19.51012125,3.158289178,0.002671064,0,560.1919537,29.67022541,287.4139481,10.05948818,292.68012125,65.85844052814596,2.2683063068031166,0.4345846893890675,1.8337216174140492,0.1409449054351463,2454936.60372875,0.06713659200815306,14.234564731344026,10.558568604805334
59.5,11.5,968.9032387,302.6545606,20.6153083,3.395745487,0.002740798,0,589.3076411,29.24048503,292.7400116,10.24590041,293.7853083,61.253118290605265,2.4288420356975564,0.4459304784565917,1.9829115572409648,0.14962941727990034,2452327.2571037,0.0672080272700115,15.317837832478496,11.197525195813878
60.5,12.5,968.9032387,305.3892511,21.23168297,3.793873037,0.002587275,0,578.7808383,28.82217464,284.7847828,9.967467398,294.40168297,54.82524005718329,2.5226188308334807,0.4209521382636656,2.101666692569815,0.15466642267698652,2450871.99650783,0.06724793355395926,15.611569014532034,11.248984213531374
61.5,13.5,916.5140484,313.5318734,23.04277324,3.568117702,0.002500898,0,544.2653039,28.43004448,266.495579,9.327345264,296.21277324,58.294041108400634,2.816714142520073,0.4068985170418007,2.409815625478272,0.17030353977088372,2446596.0123803597,0.06736546464410526,15.84287517497707,11.260341147892147
62.5,14.5,815.3059047,310.0711597,22.27739999,4.418511329,0.002476851,0,457.9969513,28.06036798,251.4214126,8.799749439,295.44739999,47.07467844086634,2.6889661778087106,0.40298604694533763,2.285980130863373,0.16353982833080236,2448403.05862361,0.06731574549783104,14.319940449145829,10.045569961367962
63.5,15.5,672.1759755,309.7701343,22.21052272,4.757052491,0.002443555,0,355.6575549,27.7219287,230.1914418,8.056700463,295.38052272000004,43.72455431036782,2.6780480314439097,0.39756875562700966,2.2804792758169,0.16295975800568632,2448560.9558580797,0.06731140459301307,12.729595736837911,8.822223634911113
64.5,16.5,496.8783293,306.610248,21.50554859,4.617397153,0.002504557,0,240.4729011,27.41910553,206.1069536,7.213743377,294.67554859,45.04702392014491,2.565290479082796,0.4074938398713827,2.1577966392114134,0.15695000623866795,2450225.39977901,0.06726567979634977,10.372642511689206,7.110214491324264
