Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Rn,SM,lambdaE_SVAT (W m-2),Eta_SVAT (mm)
0.5,0.5,0,269.1307939,12.69684511,2.429278261,0.002443526,0,-80.86920612,39.99998689,0.008998178,0.000314936
1.5,1.5,0,271.0083791,13.15934049,2.393032023,0.002029475,0,-78.99162086,39.99997101,0.010893167,0.000381261
2.5,2.5,0,265.3830894,11.7664089,2.329627037,0.002357537,0,-65.73008135,39.99995674,0.009804119,0.000343144
3.5,3.5,0,265.0976442,11.69513895,2.306167636,0.002193274,0,-66.02021444,39.99994206,0.010090728,0.000353175
4.5,4.5,0,265.2115654,11.7235897,2.213614468,0.00214492,0,-64.34885382,39.99992731,0.010132854,0.00035465
5.5,5.5,98.9429265,261.0616766,10.6812249,2.229827945,0.002264749,0,8.158417245,39.93052046,47.73227658,1.67062968
6.5,6.5,301.3592112,264.8531205,11.63404052,2.304425711,0.002226103,0,165.0014074,39.73974521,131.0801928,4.587806747
7.5,7.5,496.8783293,277.2756262,14.68592512,2.488462564,0.002493171,0,307.4726868,39.40927452,226.4023991,7.924083967
8.5,8.5,672.1759755,279.8312426,15.3010023,2.671194253,0.002143981,0,410.1427445,38.98516626,290.3815419,10.16335397
9.5,9.5,815.3059047,288.5363664,17.36500894,3.09104937,0.002298908,0,503.3555464,38.45704799,360.8809953,12.63083484
10.5,10.5,916.5140484,295.693695,19.0273232,3.290883037,0.00269486,0,573.0582274,37.85359208,411.7038544,14.4096349
11.5,11.5,968.9032387,301.16237,20.27721874,3.279418681,0.002670518,0,605.0027436,37.21099574,437.8804059,15.32581421
12.5,12.5,968.9032387,306.7354897,21.53359361,3.875385147,0.002585146,0,598.3839501,36.56035603,442.8252434,15.49888352
13.5,13.5,916.5140484,314.9016868,23.343972,4.469563411,0.002596421,0,562.8799072,35.93315998,426.1248123,14.91436843
14.5,14.5,815.3059047,312.5490242,22.82605268,3.651549922,0.002368271,0,484.2113595,35.37068353,382.344569,13.38205991
15.5,15.5,672.1759755,313.8511718,23.11306962,4.781854735,0.002333699,0,377.7266299,34.87831759,334.5941195,11.71079418
16.5,16.5,496.8783293,304.3749039,21.00354306,4.006202645,0.002527802,0,245.9692118,34.50208746,256.1929298,8.966752543
17.5,17.5,301.3592112,301.016301,20.24405605,4.593790565,0.002410999,0,114.3763394,34.22277438,190.3366408,6.661782428
18.5,18.5,98.9429265,286.9111022,16.98323497,3.632319464,0.002202182,0,-33.56979706,34.11005235,77.05498022,2.696924308
19.5,19.5,0,278.9049466,15.07855314,3.509760159,0.002243281,0,-92.42333973,34.1100298,0.01544502,0.000540576
20.5,20.5,0,274.0283628,13.89822066,3.847658286,0.002475948,0,-77.52632589,34.11000787,0.015031137,0.00052609
21.5,21.5,0,276.196282,14.42487465,3.507025566,0.002078406,0,-71.1998064,34.1099832,0.016905283,0.000591685
22.5,22.5,0,272.6487277,13.56143584,2.986239239,0.002035324,0,-75.86472396,34.10996279,0.013998858,0.00048996
23.5,23.5,0,269.7788904,12.85675993,3.09552062,0.002192721,0,-75.56322858,34.10994398,0.012912189,0.000451927
24.5,0.5,0,265.693322,11.84380258,2.411089448,0.002467478,0,-73.99455401,34.10993119,0.008781991,0.00030737
25.5,1.5,0,270.990207,13.15487577,2.335227417,0.002046259,0,-62.2904022,34.10991227,0.012983999,0.00045444
26.5,2.5,0,265.7151569,11.84924718,2.238834361,0.002305117,0,-67.28163038,34.10989846,0.009483446,0.000331921
27.5,3.5,0,262.4932595,11.04220342,2.207183468,0.002378468,0,-70.79130237,34.1098872,0.007742095,0.000270973
28.5,4.5,0,260.021537,10.41801783,2.30485366,0.00230163,0,-65.93142662,34.10987509,0.008329257,0.000291524
29.5,5.5,98.9429265,266.9568321,12.15831193,2.191686139,0.002360926,0,19.91373405,34.02807005,56.17948169,1.966281859
30.5,6.5,301.3592112,269.0343192,12.67301573,2.293972694,0.002220463,0,167.3987494,33.82623737,138.5401348,4.848904717
31.5,7.5,496.8783293,272.2773913,13.47057008,2.485995047,0.002290695,0,295.2216703,33.5171375,212.0078252,7.420273883
32.5,8.5,672.1759755,279.5161696,15.22539986,2.674098349,0.002445336,0,408.7818132,33.09787904,287.0817386,10.04786085
33.5,9.5,815.3059047,284.9939442,16.5308045,2.844240142,0.002292548,0,499.5124162,32.58679594,349.5199046,12.23319666
34.5,10.5,916.5140484,295.6386407,19.01465243,3.251131969,0.002628247,0,567.7688432,31.9876959,408.737067,14.30579734
35.5,11.5,968.9032387,306.823007,21.553186,3.557649201,0.002689024,0,604.6981407,31.33476224,444.3781085,15.5532338
36.5,12.5,968.9032387,304.80716,21.1008327,4.249976307,0.002692893,0,589.9211189,30.69094174,438.3668137,15.34283848
37.5,13.5,916.5140484,312.2756266,22.76567701,4.167542171,0.002381664,0,557.1423203,30.06930552,422.5831644,14.79041075
38.5,14.5,815.3059047,307.9907934,21.81421689,4.560704241,0.002462054,0,477.6346304,29.50471827,384.1540469,13.44539164
39.5,15.5,672.1759755,308.6636986,21.96429191,3.916111345,0.002541616,0,374.0262057,29.02612961,325.5921481,11.39572518
40.5,16.5,496.8783293,303.5134999,20.80935388,4.46518877,0.002342634,0,247.7246423,28.64022335,262.8310131,9.199085458
41.5,17.5,301.3592112,295.9653545,19.08981991,4.008395567,0.002470878,0,106.2016598,28.38587737,173.5154596,6.073041085
42.5,18.5,98.9429265,292.4741623,18.28335296,3.524443435,0.002650741,0,-28.01701037,28.27036422,78.86445145,2.760255801
43.5,19.5,0,279.9411918,15.32736983,3.822377235,0.00220992,0,-94.47581093,28.27033981,0.016711111,0.000584889
44.5,20.5,0,277.7170816,14.79247605,3.496722731,0.002265003,0,-79.67262327,28.27031626,0.01613641,0.000564774
45.5,21.5,0,270.5389254,13.04392838,3.352931672,0.002515477,0,-79.20632227,28.27029822,0.01237933,0.000433277
46.5,22.5,0,271.1969524,13.20565779,3.21615852,0.002221849,0,-73.46826684,28.27027808,0.013816886,0.000483591
47.5,23.5,0,269.1887779,12.71116416,3.027559771,0.002039819,0,-71.57670303,28.27025849,0.013442431,0.000470485
48.5,0.5,0,269.4312808,12.77102474,2.436243468,0.002413322,0,-70.52419299,28.27024303,0.010615601,0.000371546
49.5,1.5,0,270.2339248,12.96886547,2.399144937,0.001989624,0,-65.98532233,28.27022462,0.01263387,0.000442185
50.5,2.5,0,266.6130069,12.0728387,2.353739493,0.002310174,0,-68.52190172,28.27021001,0.010028358,0.000350993
51.5,3.5,0,264.6069465,11.57248695,2.20530085,0.002213568,0,-68.80085752,28.27019679,0.009089487,0.000318132
52.5,4.5,0,263.4085574,11.27222579,2.223423749,0.002032919,0,-65.08951246,28.27018239,0.009892844,0.00034625
53.5,5.5,98.9429265,268.074487,12.43558619,2.245359492,0.002014352,0,17.71556268,28.1846825,58.7013671,2.054547849
54.5,6.5,301.3592112,267.9357276,12.40120915,2.260071553,0.002247546,0,163.6253504,27.98946833,134.0319179,4.691117127
55.5,7.5,496.8783293,276.9517565,14.60767407,2.491939056,0.002157302,0,297.5337418,27.66400544,222.9883064,7.804590723
56.5,8.5,672.1759755,285.4967636,16.64968522,2.675134422,0.002352554,0,408.9806793,27.22515564,300.0867225,10.50303529
57.5,9.5,815.3059047,285.3265165,16.60945161,2.836738493,0.002203048,0,489.7101308,26.71880093,346.2601295,12.11910453
58.5,10.5,916.5140484,297.797178,19.51012125,3.158289178,0.002671064,0,560.1919537,26.12020408,408.1992546,14.28697391
59.5,11.5,968.9032387,302.6545606,20.6153083,3.395745487,0.002740798,0,589.3076411,25.48530145,432.4969518,15.13739331
60.5,12.5,968.9032387,305.3892511,21.23168297,3.793873037,0.002587275,0,578.7808383,24.85074764,432.002822,15.12009877
61.5,13.5,916.5140484,313.5318734,23.04277324,3.568117702,0.002500898,0,544.2653039,24.24028884,414.8739062,14.52058672
62.5,14.5,815.3059047,310.0711597,22.27739999,4.418511329,0.002476851,0,457.9969513,23.68902743,374.9194792,13.12218177
63.5,15.5,672.1759755,309.7701343,22.21052272,4.757052491,0.002443555,0,355.6575549,23.21138067,324.8742299,11.37059804
64.5,16.5,496.8783293,306.610248,21.50554859,4.617397153,0.002504557,0,240.4729011,22.82655009,261.9226777,9.167293719
65.5,17.5,301.3592112,302.1912114,20.51046014,4.579395833,0.002448251,0,103.2558001,22.55431552,185.465462,6.491291171
66.5,18.5,98.9429265,294.2108598,18.68542799,3.759474596,0.002342279,0,-39.42056048,22.43514097,81.33278226,2.846647379
67.5,19.5,0,280.6987996,15.50884508,3.726158627,0.002446732,0,-102.8941027,22.43511816,0.015611883,0.000546416
68.5,20.5,0,279.4676672,15.21375592,3.233206304,0.002252136,0,-79.31712857,22.43509441,0.016260972,0.000569134
69.5,21.5,0,270.7066591,13.08518182,3.241539696,0.00247015,0,-78.42134474,22.43507647,0.012311301,0.000430896
70.5,22.5,0,274.3323566,13.972258,3.459172446,0.002422985,0,-70.42654559,22.43505433,0.0151778,0.000531223
71.5,23.5,0,269.9633711,12.90222699,3.131887176,0.002010511,0,-73.62882408,22.43503416,0.013842413,0.000484484
72.5,0.5,0,270.6615497,13.07408924,2.425770143,0.002163856,0,-72.79202762,22.43501755,0.011394273,0.0003988
73.5,1.5,0,269.2539223,12.72724867,2.380414938,0.002410889,0,-67.7415153,22.43500192,0.010728498,0.000375497
74.5,2.5,0,268.8878222,12.63681855,2.29521071,0.002017928,0,-65.50989792,22.43498475,0.011786453,0.000412526
75.5,3.5,0,262.1924706,10.9664812,2.191460233,0.002000658,0,-71.80522145,22.43497224,0.008604395,0.000301154
76.5,4.5,0,266.0428261,11.93091218,2.213511418,0.002232523,0,-61.95808934,22.43495702,0.010450291,0.00036576
77.5,5.5,98.9429265,264.9316644,11.65367067,2.259302314,0.002170716,0,14.55046652,22.35821445,52.72823613,1.845488264
78.5,6.5,301.3592112,264.9578475,11.66021353,2.259389638,0.002339238,0,158.1538553,22.17600859,125.1891023,4.381618581
79.5,7.5,496.8783293,273.809633,13.84491114,2.488084375,0.002286736,0,291.3915238,21.86549667,212.9000974,7.45150341
80.5,8.5,672.1759755,281.0032626,15.58167181,2.729272758,0.00211519,0,396.8723426,21.44546193,287.5151437,10.06303003
81.5,9.5,815.3059047,287.8856209,17.21234316,2.872552247,0.002539874,0,482.1043798,20.93652128,347.8272409,12.17395343
82.5,10.5,916.5140484,300.4886172,20.12415299,3.148461177,0.002479222,0,546.8520925,20.33910902,407.1508691,14.25028042
83.5,11.5,968.9032387,303.6268494,20.83493021,3.489520945,0.002466464,0,565.1180462,19.71607553,424.3219299,14.85126755
84.5,12.5,968.9032387,304.8519334,21.11090412,3.537424194,0.002319589,0,551.3927883,19.09871805,420.3445044,14.71205765
85.5,13.5,916.5140484,308.4197734,21.90991874,3.821893462,0.002754092,0,511.1405855,18.50753642,402.2121733,14.07742607
86.5,14.5,815.3059047,311.9739497,22.69901026,4.556799472,0.002674117,0,438.3897423,17.96900867,366.1102569,12.81385899
87.5,15.5,672.1759755,312.2289506,22.75536537,4.033005264,0.002314499,0,340.2065307,17.51109014,311.292329,10.89523151
88.5,16.5,496.8783293,306.5595736,21.49419876,4.178508148,0.002485197,0,213.1809112,17.15028675,245.5720253,8.595020885
89.5,17.5,301.3592112,294.354493,18.71860174,4.07726145,0.002251169,0,72.4019687,16.91329304,161.7353999,5.660738996
90.5,18.5,98.9429265,294.51108,18.75475351,4.255060739,0.002506928,0,-45.43303846,16.7909251,83.50659969,2.922730989
91.5,19.5,0,280.3576637,15.42717585,4.038791965,0.002476256,0,-105.312191,16.79090121,0.016358185,0.000572536
92.5,20.5,0,275.8923545,14.35122864,3.410725379,0.002271318,0,-86.7804508,16.79087979,0.014679038,0.000513766
93.5,21.5,0,270.2557157,12.97423047,3.419505393,0.002438798,0,-76.84285627,16.79086115,0.012786718,0.000447535
94.5,22.5,0,272.0174154,13.40689884,3.348129403,0.002080866,0,-70.71265578,16.79083912,0.015111244,0.000528894
95.5,23.5,0,268.9956838,12.66347095,2.959526262,0.002479887,0,-73.36923944,16.79082211,0.011681099,0.000408838
96.5,0.5,0,272.0971379,13.4264287,2.434520593,0.002124709,0,-68.49412939,16.79080373,0.012600766,0.000441027
97.5,1.5,0,266.7906225,12.11700337,2.345469604,0.002340576,0,-70.73140215,16.79078968,0.009649304,0.000337726
98.5,2.5,0,268.4685563,12.53314243,2.313936232,0.002223345,0,-65.4093134,16.79077348,0.011124341,0.000389352
99.5,3.5,0,263.8954575,11.39434387,2.260798386,0.002302502,0,-67.78969053,16.79076039,0.008993823,0.000314784
100.5,4.5,0,263.927709,11.40242681,2.272677628,0.002248879,0,-66.13363146,16.79074666,0.009436874,0.000330291
101.5,5.5,98.9429265,266.0014422,11.92060224,2.196760871,0.002448005,0,15.15706655,16.71866832,49.51092146,1.732882251
102.5,6.5,301.3592112,265.1251385,11.70200624,2.290626424,0.002371952,0,155.9156667,16.540405,122.475399,4.286638966
103.5,7.5,496.8783293,271.4524042,13.26836324,2.486812365,0.002496198,0,277.1026787,16.24918722,199.7813299,6.992346545
104.5,8.5,672.1759755,278.5376901,14.9902034,2.66016385,0.002241869,0,376.3024686,15.85119222,272.5832573,9.540414005
105.5,9.5,815.3059047,287.5061328,17.1231952,3.123576373,0.002185412,0,456.5233934,15.35484927,339.2465647,11.87362977
106.5,10.5,916.5140484,298.6485389,19.70480134,3.428175514,0.002557855,0,516.3081048,14.78023722,391.7700071,13.71195025
107.5,11.5,968.9032387,300.5718651,20.1430795,3.66584469,0.002652204,0,533.7660248,14.18439443,406.073844,14.21258454
108.5,12.5,968.9032387,305.7979288,21.32343934,3.499327267,0.002734413,0,523.2401196,13.58761603,406.2495004,14.21873251
109.5,13.5,916.5140484,314.1732304,23.18391939,4.556213212,0.002473383,0,480.7118558,13.02874871,379.7600828,13.2916029
110.5,14.5,815.3059047,311.8734206,22.67678388,4.27549267,0.002336863,0,405.5960125,12.52732169,340.8951772,11.9313312
111.5,15.5,672.1759755,307.6068299,21.72847301,4.6073814,0.002378679,0,311.6429475,12.09950731,291.1156888,10.18904911
112.5,16.5,496.8783293,303.9731933,20.91303545,4.482960645,0.002317067,0,197.1321897,11.76118917,230.3969407,8.063892925
113.5,17.5,301.3592112,299.3204751,19.85815884,4.008179481,0.002505865,0,73.39199078,11.53360326,155.1449902,5.430074658
114.5,18.5,98.9429265,289.2555458,17.53342932,3.872587422,0.002254985,0,-62.36603043,11.43504564,67.33685914,2.35679007
115.5,19.5,0,283.8740662,16.2654672,4.037845817,0.002275861,0,-106.2848842,11.43501852,0.018552794,0.000649348
116.5,20.5,0,277.5706846,14.75715536,3.34707185,0.00217462,0,-83.21248337,11.43499559,0.015705382,0.000549688
117.5,21.5,0,275.0393327,14.14420358,3.543893986,0.002177311,0,-75.27336027,11.43497274,0.015659378,0.000548078
118.5,22.5,0,268.7905647,12.61277952,3.003884594,0.002102893,0,-78.59172189,11.43495485,0.012279758,0.000429792
119.5,23.5,0,268.2103855,12.46924154,3.209706855,0.002301648,0,-73.40313453,11.43493651,0.012595407,0.000440839
120.5,0.5,0,271.621884,13.30994083,2.408156979,0.002095711,0,-65.20061382,11.43491771,0.012897216,0.000451403
121.5,1.5,0,263.3663934,11.26164277,2.380904389,0.00223344,0,-74.72481813,11.43490516,0.008624458,0.000301856
122.5,2.5,0,265.0896819,11.6931501,2.354367416,0.002373252,0,-66.44129635,11.43489109,0.009669747,0.000338441
123.5,3.5,0,262.7954242,11.11820646,2.210806258,0.00226592,0,-64.38731727,11.43487791,0.00905677,0.000316987
124.5,4.5,0,263.8170097,11.37468001,2.167354912,0.001960686,0,-64.00072885,11.43486314,0.010150128,0.000355254
125.5,5.5,64.50201188,263.0746238,11.1883749,2.249533715,0.002356199,0,-13.76283822,11.39071958,30.34360087,1.062026031
126.5,6.5,188.808435,262.8403108,6.681131419,2.228641709,0.001607142,21,71.89707066,11.31186532,54.43629213,1.905270225
127.5,7.5,302.562988,266.4166982,7.9428801,2.362928368,0.001994842,5,147.8305021,11.17834626,92.06312759,3.222209466
128.5,8.5,548.4483118,274.8342577,10.24982062,2.547714212,0.002419187,0,322.811347,10.91257615,182.84985,6.39974475
129.5,9.5,432.5518222,279.6463381,11.58042163,2.639859055,0.002457353,0,183.2119554,10.70109114,145.3171401,5.086099904
130.5,10.5,651.9515604,288.5735354,13.80686954,2.840292938,0.002724237,0,348.3094878,10.35501001,237.2964861,8.305377012
131.5,11.5,636.0778383,285.4546733,13.54298325,2.983372355,0.002671773,0,324.3073217,10.02754924,224.5857922,7.860502728
132.5,12.5,805.0018189,296.8543939,16.17316659,3.51437367,0.002670089,0,439.2754007,9.583060643,304.0814564,10.64285097
133.5,13.5,736.7292445,299.9550918,17.19276552,3.730865747,0.002543365,0,379.5788875,9.166713335,284.5511658,9.959290802
134.5,14.5,413.5475941,297.4597489,16.9956136,3.283271777,0.002428791,0,119.7559325,8.928164925,163.0659521,5.707308322
135.5,15.5,380.3257786,289.9443666,15.66252175,3.22954547,0.002649113,0,131.2805127,8.712780991,147.4195808,5.159685326
136.5,16.5,347.5399144,287.5276916,15.15600205,3.322107033,0.00244144,0,140.3351504,8.506670348,141.1409429,4.939933003
137.5,17.5,154.6028949,287.2147567,15.25511832,3.341171736,0.002617426,0,-6.595637722,8.399826687,73.15771443,2.560520005
138.5,18.5,69.46250651,276.9561862,12.96786428,3.361028537,0.002487286,0,-60.92386564,8.350438043,33.89134987,1.186197245
139.5,19.5,0,271.4458741,11.78645671,3.241508782,0.002609064,0,-85.91587457,8.350423062,0.010292115,0.000360224
140.5,20.5,0,271.4950395,11.67712436,3.04569969,0.002330719,0,-66.43790245,8.350405835,0.011835655,0.000414248
141.5,21.5,0,272.3997679,11.81001943,2.842842396,0.002179788,0,-60.87679245,8.350387759,0.012418204,0.000434637
142.5,22.5,0,268.8119191,10.96237255,2.695625266,0.002104153,0,-66.74587015,8.350372211,0.010689812,0.000374143
143.5,23.5,0,264.1553679,10.0932691,2.686925022,0.002529563,0,-68.42460799,8.350360299,0.008196398,0.000286874
144.5,0.5,0,264.1833772,10.02714341,2.588831256,0.002363139,0,-62.58798006,8.350347256,0.00897578,0.000314152
145.5,1.5,0,267.6598125,10.85117309,2.51657434,0.002426846,0,-57.17152771,8.350332461,0.01017267,0.000356043
146.5,2.5,0,260.7878809,9.24046113,2.455204699,0.002359003,0,-67.00446195,8.350321889,0.007280884,0.000254831
147.5,3.5,0,263.0173675,9.680407469,2.366678334,0.00219498,0,-61.62705267,8.350309415,0.008586388,0.000300524
148.5,4.5,0,265.3088499,10.28416949,2.2858985,0.002359934,0,-55.17050584,8.350295906,0.009293749,0.000325281
149.5,5.5,68.22331985,264.2079395,10.04851354,2.261541126,0.002398343,0,-7.505345264,8.312341332,26.11776021,0.914121607
150.5,6.5,200.3200057,262.6204127,9.59819803,2.34088095,0.002214755,0,81.96579476,8.216918481,65.69170514,2.29920968
151.5,7.5,365.836654,270.435418,11.51057185,2.450491612,0.002425695,0,192.4902684,8.032309684,126.858219,4.440037664
152.5,8.5,394.7865051,273.9923123,12.36207463,2.567391138,0.002347378,0,175.4196135,7.83698713,134.1113488,4.693897206
153.5,9.5,472.6695744,276.1418585,12.92361967,2.65292054,0.002323557,0,213.756856,7.607296899,157.6241128,5.516843947
154.5,10.5,613.0195248,282.5051816,14.55746316,2.842340289,0.002615483,0,322.9753494,7.294043189,214.6335958,7.512175855
155.5,11.5,560.4065792,287.3570479,12.42680568,3.191559634,0.002358735,5,256.0771898,7.041838101,173.1570302,6.060496058
156.5,12.5,738.1539117,292.4904817,13.4594633,3.428967266,0.002426063,4,399.3587607,6.700450424,234.1561198,8.195464193
157.5,13.5,485.482354,295.7153559,14.82052406,3.558872853,0.002550143,0,209.3631017,6.458847266,165.49875,5.79245625
158.5,14.5,589.5271311,297.1778316,15.33022002,3.57699315,0.002431045,0,295.1764597,6.16557069,200.7971316,7.027899607
159.5,15.5,507.7878496,296.5421152,15.71732499,3.179181062,0.002569482,0,244.736275,5.906620388,177.2292835,6.203024923
160.5,16.5,295.2909545,287.9457612,14.35403647,3.286258594,0.002688222,0,60.13668507,5.767098765,95.61533597,3.346536759
161.5,17.5,174.1045306,285.2569004,13.6612426,3.195221747,0.002337968,0,-0.023275389,5.677730414,61.28548398,2.144991939
162.5,18.5,55.2484382,276.8207846,12.09340972,3.462385458,0.002583563,0,-55.52752543,5.64570061,21.99777968,0.769922289
163.5,19.5,0,273.1122796,11.24966989,3.151852861,0.002497155,0,-80.16796486,5.645685796,0.010182453,0.000356386
164.5,20.5,0,275.0614007,11.70213213,2.903916972,0.002554514,0,-60.94694098,5.645669144,0.011440494,0.000400417
165.5,21.5,0,269.8005314,10.34988878,2.76879245,0.002225502,0,-63.09432789,5.645654495,0.010077644,0.000352718
166.5,22.5,0,267.2856563,9.7684268,2.682997874,0.002174268,0,-64.63643728,5.645640991,0.009295076,0.000325328
167.5,23.5,0,265.1763212,9.445276909,2.727007559,0.00236123,0,-60.83927221,5.645628118,0.00886354,0.000310224
168.5,0.5,0,265.0182427,9.283225826,2.614156062,0.002184872,0,-59.08805018,5.645614867,0.00912491,0.000319372
169.5,1.5,0,265.4124913,9.421261691,2.512837821,0.00225538,0,-58.20151613,5.645601924,0.008911608,0.000311906
170.5,2.5,0,262.1590286,8.871483595,2.450345352,0.002488786,0,-61.03506174,5.645591558,0.007141065,0.000249937
171.5,3.5,0,265.1269203,9.277005708,2.39982929,0.002145229,0,-56.13620645,5.645578449,0.009027839,0.000315974
172.5,4.5,0,264.1442252,9.277923536,2.315201159,0.002445617,0,-56.68593313,5.645567099,0.007816087,0.000273563
173.5,5.5,63.12128029,266.4275769,9.678636463,2.34824248,0.002305942,0,-6.916743708,5.615306716,20.8304801,0.729066804
174.5,6.5,228.3282052,263.0311673,9.101830643,2.346780882,0.002547451,0,107.0676617,5.526529719,61.14541777,2.140089622
175.5,7.5,391.6241989,274.5852822,11.56828656,2.485296793,0.002412368,0,213.0245709,5.351024662,120.5957293,4.220850525
176.5,8.5,464.0176434,276.6824419,12.14455009,2.601517998,0.002383891,0,222.6349958,5.154304602,135.0989615,4.728463651
177.5,9.5,537.6867032,282.33102,13.4505858,2.710509829,0.002264613,0,256.196039,4.921390198,159.7561941,5.591466795
178.5,10.5,757.4199356,283.4572642,11.34647476,3.165842465,0.002065811,12,416.1184078,4.641601014,192.2937417,6.730280959
179.5,11.5,650.3427946,291.7075317,13.37894047,3.429380401,0.002487004,6,318.6198291,4.388315888,173.7403917,6.08091371
180.5,12.5,749.9994617,299.5776857,14.8316566,3.322525393,0.002490342,3,404.2089467,4.080630247,210.7631653,7.376710785
181.5,13.5,518.6931831,293.2926062,14.39671109,3.431725994,0.002553515,0,214.3893304,3.881240828,136.6376567,4.782317983
182.5,14.5,677.0931681,301.042741,16.42277507,3.709922559,0.002806363,0,357.5050519,3.604444499,189.3152975,6.626035411
183.5,15.5,464.9545312,294.5593394,15.5006543,3.619086159,0.002642615,0,197.2677323,3.4232933,124.008208,4.340287279
184.5,16.5,336.2734722,289.8301757,14.68379881,3.587438999,0.002500108,0,94.45341662,3.299290277,84.95349102,2.973372186
185.5,17.5,189.2382691,290.2551096,14.96027115,3.78594247,0.002600962,0,24.06974499,3.219534329,54.62570889,1.911899811
186.5,18.5,50.45898855,283.5731042,13.61276808,3.318834698,0.002589638,0,-63.82003386,3.197438791,15.15299872,0.530354955
187.5,19.5,0,277.4413523,12.33723118,3.451600272,0.002611847,0,-84.54320337,3.197422209,0.011385272,0.000398485
188.5,20.5,0,272.1815301,11.17658708,3.032257774,0.002551338,0,-69.10676205,3.197407425,0.010162773,0.000355697
189.5,21.5,0,272.5199305,11.1122249,2.988089702,0.002341037,0,-61.3291366,3.197390906,0.011355858,0.000397455
