Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SM,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Cfinal,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
10.5,10.5,916.5140484190015,295.69369498004824,19.027323198928393,3.290883037358367,0.0026948602612739637,0,11.047881648818857,0.43845636405293426,2.2011418114639754,1.7626854474110412,292.1973231989284,0.9850452483425146,0.517889707388589,0.9983892748825538,0.9791700946290318,38.29499230035799,7.480709108629449,133.67716689403682,-354.86454279484815,747.3615147939214,2456076.4899273296,0.13728723964768802,0.06710543333904662,0.0,0.0,0.0,0.0,972.6241289149464,296.55034997828875,1269.1744788932351,-521.8129640993137,287.5705381764254
11.5,11.5,968.9032386939596,301.1623699719542,20.277218744483385,3.2794186814697035,0.002670518137046355,0,11.086503386187605,0.43449587695995356,2.3787099798668274,1.9442141029068738,293.4472187444834,0.9946793266924668,0.4749456714884874,0.9994999884864568,0.9782447164266734,37.84404470384623,6.928649450950917,144.32827163203584,-363.89675224474917,789.9004677778895,2453125.4865442747,0.14692596430334323,0.06718615825992454,0.0,0.0,0.0,0.0,1020.5229953985811,307.286400583021,1327.8093959816022,-537.9089282037127,288.6610413642548
12.5,12.5,968.9032386939596,306.7354897278417,21.533593608854883,3.8753851469743967,0.0025851455749109358,0,9.38159303862372,0.42060567874756705,2.569695629657963,2.149089950910396,294.7035936088549,0.9946793266924668,0.4279825497954854,0.9927444220396722,0.977241210769334,37.40883157938605,6.194976185918134,161.42112091941704,-371.17971655781713,788.1906232207091,2450159.1854894934,0.15718545474562626,0.0672674976166869,0.0,0.0,0.0,0.0,1271.6489529882301,296.2059540393577,1567.8549070275878,-779.6642838068788,288.83316686592264
13.5,13.5,916.5140484190015,314.90168678834135,23.343971996674878,4.46956341109693,0.0025964207964757975,0,8.134415595620306,0.42244016817258956,2.8684210860477264,2.445980917875137,296.5139719966749,0.9850452483425146,0.36275748857390966,0.9691300020164613,0.9762288485136058,37.01304877651489,5.071045436840106,197.1979964397883,-374.43586879177684,746.9981806052858,2445884.8821158507,0.17302923586552296,0.06738505085645785,0.0,0.0,0.0,0.0,1558.4073649113084,268.89977059555935,1827.3071355068678,-1080.308954901582,289.4612010989633
14.5,14.5,815.3059047139755,312.54902421933116,22.826052683540077,3.651549921518903,0.0023682714644228126,0,9.956672398913156,0.3853200517678274,2.7800147517139036,2.394694699946076,295.9960526835401,0.9636180397595431,0.3737854185296014,0.9775591707936306,0.9752691610997503,36.62393553119956,5.150935150624224,194.13950491665838,-376.5178808179683,653.5003395496612,2447107.689614162,0.1683648210329199,0.06735137888288224,0.0,0.0,0.0,0.0,1271.3380957484833,264.50055965052314,1535.8386553990065,-882.3383158493452,288.94531105967417
15.5,15.5,672.1759755206294,313.851171753007,23.11306962286515,4.781854735309562,0.0023336989490540935,0,7.603176660381572,0.3796950701676435,2.828708598922256,2.4490135287546124,296.2830696228652,0.924826174148243,0.3621085246887732,0.9730536346285497,0.974287883810656,36.27921890261362,4.762272052056374,209.9838037535455,-376.8091587372537,528.5568714739072,2446430.042620415,0.17093642274239654,0.06737003482588065,0.0,0.0,0.0,0.0,1684.127039271614,234.25697676762735,1918.3840160392413,-1389.827144565334,287.8021818889958
16.5,16.5,496.87832926664043,304.3749039473812,21.00354305702307,4.00620264531068,0.0025278016775938496,0,9.075248941637415,0.4112757713384206,2.4875466965330943,2.076270925194674,294.1735430570231,0.8556070264768257,0.4444919441066013,0.9965569917332822,0.9733860905513687,35.957531019793265,5.533714797639915,180.71043350960045,-372.51158135620506,369.1162523458197,2451410.6348423683,0.15278561604295876,0.06723315744325148,0.0,0.0,0.0,0.0,1295.6279042498713,219.05252695715143,1514.6804312070228,-1145.5641788612031,285.829752094184
17.5,17.5,301.35921120210173,301.016300991639,20.24405604954603,4.593790565105756,0.0024109986489172517,0,7.914441418598665,0.39227180590100624,2.3738416767668085,1.9815698708658023,293.41405604954605,0.7213013052566533,0.46626381355353785,0.9995713939695858,0.9725160340297632,35.69982339162322,4.903997925340279,203.91525755603007,-364.5446851045976,201.66772174489097,2453203.783667022,0.1466630263217493,0.06718401392812658,0.0,0.0,0.0,0.0,1458.8157196868533,175.61370236294778,1634.4294220498011,-1432.7617003049102,284.3132538409609
18.5,18.5,98.94292650391611,286.9111021555001,16.983234973123995,3.63231946358631,0.002202182028487658,0,10.009385650496721,0.35829714032628773,1.9356716016336275,1.5773744613073397,290.15323497312403,0.3971711697387962,0.5630201340111545,0.9797398222043897,0.9717985458612439,35.572672707876116,3.193595490163654,313.12669468629406,-355.7462419511081,18.23463552783815,2460902.5822284543,0.12267842082295952,0.06697383243068886,0.0,0.0,0.0,0.0,1035.342239315318,86.91817943482194,1122.26041875014,-1104.0257832223017,281.2842875238157
19.5,19.5,0.0,278.904946614216,15.078553143225541,3.5097601594073122,0.002243280957156949,0,10.358909060891602,0.36498397566605023,1.7139898351466933,1.349005859480643,288.24855314322554,0.0,0.6204317205087916,0.9435593819181202,0.9714376730442672,35.57263763357321,0.0001,1000000.0,-344.58110523172115,-65.67615861750517,2465399.536028845,0.1102745523666589,0.0668516703933093,0.0,0.0,0.0,0.0,916.0760119970671,0.02402004725476471,916.1000320443219,-981.7761906618271,280.0862642988412
