Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Tk,d,z0,ra,esat(T),e,D,delta,LH,psy_const,LW_up,SM,Cfinal,gR,gD,gT,gSM,gs,rs,Rn,Cinterim,Cactual,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
0.5,0.5,0.0,269.13079387712315,12.69684511029523,2.429278260564434,0.002443526019632391,0,285.86684511029523,0.07724057013989283,0.012827828958032148,94.25334218061909,1.4683266562373942,0.39756404049324434,1.0707626157441499,0.0962776721443341,2471022.748694593,0.06669953858477752,-319.0,9.999980747584296,0.0,0.0,0.6930599959727758,0.8727952532987024,0.6244004595363906,0.0001,1000000.0,-49.86920612287685,0.0,0.0,0.0,86.85285858212325,0.01321476588183891,86.86607334800509,-136.73527947088195,275.52345785668035
1.5,1.5,0.0,271.0083791434097,13.159340491112538,2.393032022619594,0.0020294748768538806,0,286.32934049111253,0.07724057013989283,0.012827828958032148,95.6809574550839,1.5134538395705954,0.33019752015693365,1.1832563194136618,0.09887048583602802,2469930.797100483,0.06672902632085885,-319.0,9.999958466424225,0.0,0.0,0.6633421247712207,0.8887557542912231,0.6243997364158453,0.0001,1000000.0,-47.991620856590316,0.0,0.0,0.0,93.04838159629534,0.015286923181654323,93.06366851947699,-141.05528937606732,275.497547987476
2.5,2.5,0.0,265.3830894145385,11.766408901132301,2.329627036827709,0.002357536563381216,0,284.9364089011323,0.07724057013989283,0.012827828958032148,98.28508663631739,1.3811059319616334,0.38357347301314965,0.9975324589484837,0.0912365021003001,2473219.5085844263,0.06664029480535363,-310.35540131261155,9.999940130825394,0.0,0.0,0.712663884229276,0.837446246475655,0.6243988995339533,0.0001,1000000.0,-44.97231189807303,0.0,0.0,0.0,80.10058014809799,0.012596655759028344,80.11317680385702,-125.08548870193005,275.0695254638533
3.5,3.5,0.0,265.0976441601468,11.69513894648815,2.306167636287055,0.0021932738407348766,0,284.8651389464882,0.07724057013989283,0.012827828958032148,99.28488785557587,1.3746166711316676,0.35684776958580305,1.0177689015458646,0.09085980984178696,2473387.7769473414,0.06663576116391835,-309.3350959697249,9.999921152732673,0.0,0.0,0.7072261644275433,0.834560089100141,0.624398210846212,0.0001,1000000.0,-44.23745180957809,0.0,0.0,0.0,81.09839112393783,0.013038939601135495,81.11143006353896,-125.34888187311705,274.8768969223995
4.5,4.5,0.0,265.21156543289123,11.723589701440986,2.213614467920855,0.0021449197256135657,0,284.893589701441,0.07724057013989283,0.012827828958032148,103.43607636427193,1.3772039456396203,0.34898050841172484,1.0282234372278956,0.09101002504355786,2473320.604714898,0.06663757090618526,-307.9417161656345,9.99990195988931,0.0,0.0,0.7044230300714662,0.8357152801785409,0.6243974980249778,0.0001,1000000.0,-42.730150732743255,0.0,0.0,0.0,78.56745134165679,0.013186126376033152,78.58063746803282,-121.31078820077607,274.8229535389152
5.5,5.5,98.94292650391611,261.0616766418051,10.681224898243343,2.2298279453050136,0.0022647485352766663,0,283.85122489824334,0.07724057013989283,0.012827828958032148,102.68397417254485,1.2851559867081117,0.368476771334403,0.9166792153737087,0.0856426695248862,2475781.628015247,0.06657133056704426,-307.389608565985,9.93408558069993,0.0,0.3971711697387962,0.7345451957743364,0.7907497853436938,0.6243967771362872,4.321327971282576,231.41034576535478,29.858121483835518,0.0,0.0,0.0,73.0759842026753,45.26305067209757,118.33903487477286,-88.48091339093735,276.55937518404164
6.5,6.5,301.35921120210173,264.8531205312383,11.634040516629534,2.3044257112457203,0.0022261026557568978,0,284.8040405166295,0.07724057013989283,0.012827828958032148,99.35993771790717,1.3690748861784603,0.36218904945755315,1.0068858367209073,0.09053793428613867,2473532.0303402375,0.06663187504701418,-311.188756160466,9.75666344840838,0.0,0.7213013052566533,0.7101486108022755,0.8320656203673741,0.6219165396629394,7.952009670221256,125.7543742363402,185.7109569963906,0.0,0.0,0.0,80.33676726277545,121.9053686428919,202.24213590566734,-16.531178909276747,283.4857820179022
7.5,7.5,496.87832926664043,277.2756261942965,14.685925119656481,2.488462563738112,0.0024931712948481673,0,287.8559251196565,0.07724057013989283,0.012827828958032148,92.01166956715991,1.671167695765439,0.4056413746601842,1.265526321105255,0.10785478536237894,2466326.530792491,0.06682654348994842,-331.4952153443415,9.451543001241822,0.0,0.8556070264768257,0.6419129999394806,0.9338462340635472,0.6151486410770968,9.465143636660272,105.65080028229184,328.3767243852681,0.0,0.0,0.0,98.10617438660746,209.03518164837584,307.1413560349833,21.23536835028483,289.4240771078613
8.5,8.5,672.1759755206294,279.831242576854,15.301002303447607,2.671194253029934,0.002143981003194883,0,288.4710023034476,0.07724057013989283,0.012827828958032148,85.71731347699664,1.7386758200532408,0.34882777736868514,1.3898480426845556,0.11166586372550318,2464874.33356156,0.06686591479585535,-362.9206953852781,9.064127430512245,0.0,0.924826174148243,0.6100185249491691,0.9487204496615581,0.6032250577931564,9.685945624204619,103.24237186517523,434.4860483424605,0.0,0.0,0.0,113.16126511293906,265.25852686484365,378.4197919777827,56.06625636467777,292.32805482577345
9.5,9.5,815.3059047139755,288.53636638788475,17.36500894135059,3.091049369597625,0.002298907857502239,0,290.5350089413506,0.07724057013989283,0.012827828958032148,74.07438955746102,1.9830083097039912,0.37403452601161835,1.608973783692373,0.12530198022045938,2460001.2138894713,0.06699837229341435,-385.65906241819437,8.591502348663242,0.0,0.9636180397595431,0.5552321845020192,0.9848095477019464,0.5875517345537651,9.287507383841444,107.67151601298495,530.6628505994515,0.0,0.0,0.0,140.73929237797867,322.9606319619885,463.6999243399672,66.96292625948433,294.5159701735054
