Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SMlast,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Dcanopy,C/S,lambdaEI (C=Cactual),Cfinal,lambdaET,lambda*Etotal,H,Ts,SMnew,d,z0,lambdaEl (C=S),dCdt,lambdaEl (C=Cactual),lambdaE
0.5,0.5,0.0,269.13079387712315,12.69684511029523,2.429278260564434,0.002443526019632391,0,175.81592578469676,0.39756404049324434,1.4683266562373942,1.0707626157441499,285.86684511029523,1e-05,0.6930599959727758,0.8727952532987024,0.993251259593809,10.0,0.0001802451495628261,5547.999501930791,-319.0,-588.1307938771231,2.471022748694593,0.0962776721443341,66.69953858477751,0.0,0.0,0.0,,,-165.5106867502705,-56.620369291070254,,-531.6240303283062,210.85182006068578,40.0,0.07724057013989283,0.012827828958032148,,-0.11360574225332867,0.11360574225332867,-56.50676354881693
1.5,1.5,0.0,271.0083791434097,13.159340491112538,2.393032022619594,0.0020294748768538806,0,178.4789348126781,0.33019752015693365,1.5134538395705954,1.1832563194136618,286.32934049111253,1e-05,0.6633421247712207,0.8887557542912231,0.999664,40.0,0.00017680531258390688,5655.938644521373,-319.0,-590.0083791434097,2.469930797100483,0.09887048583602802,66.72902632085884,-165.5106867502705,-165.5106867502705,0.0,,,-7036552.6828157175,-58.330628388801394,,-532.1147293641905,210.10780573155813,40.0,0.07724057013989283,0.012827828958032148,,-4827.608160212254,4827.608160212254,-57.89364977921923
2.5,2.5,0.0,265.3830894145385,11.766408901132301,2.329627036827709,0.002357536563381216,0,183.33655972304075,0.38357347301314965,1.3811059319616334,0.9975324589484837,284.9364089011323,1e-05,0.712663884229276,0.837446246475655,0.999664,40.0,0.00017898514923032983,5587.05570993007,105.71986503827343,-159.66322437626508,2.4732195085844264,0.0912365021003001,66.64029480535362,-7036552.6828157175,-7036552.6828157175,0.0,,,-74607806215.62506,-14.563882038400411,,-11516.50841720355,-1409.6173461302403,40.0,0.07724057013989283,0.012827828958032148,,-51251133.02383389,51251133.02383389,11356.845192827284
3.5,3.5,0.0,265.0976441601468,11.69513894648815,2.306167636287055,0.0021932738407348766,0,185.20154374268165,0.35684776958580305,1.3746166711316676,1.0177689015458646,284.8651389464882,1e-05,0.7072261644275433,0.834560089100141,0.999664,40.0,0.00017700732478831595,5649.483721625112,106388.80215447831,106123.70451031816,2.4733877769473414,0.09085980984178696,66.63576116391835,-74607806215.62506,-74607806215.62506,0.0,,,5.23538625305279e+17,9642.382873034205,,-121570971.29548968,-18069789.178972103,-359698516433741.4,0.07724057013989283,0.012827828958032148,,359698394756646.4,-359698394756646.4,121677095.0
4.5,4.5,0.0,265.21156543289123,11.723589701440986,2.213614467920855,0.0021449197256135657,0,192.94498322055796,0.34898050841172484,1.3772039456396203,1.0282234372278956,284.893589701441,1e-05,0.7044230300714662,0.8357152801785409,1e-05,-359698516433741.4,1e-05,99999.99999999999,2.8713690252919413e+21,2.8713690252919413e+21,2.473320604714898,0.09101002504355786,66.63757090618525,5.23538625305279e+17,2.0,5.23538625305279e+17,,,-3.803648095805437e+23,2.613233669011159e+20,,2.6100456583908253e+21,4.0417275882078346e+20,40.0,0.07724057013989283,0.012827828958032148,,-2.618469055264212e+20,2.613233669011159e+20,2.613233669011159e+20
5.5,5.5,98.94292650391611,261.0616766418051,10.681224898243343,2.2298279453050136,0.0022647485352766663,0,191.54204577490432,0.368476771334403,1.2851559867081117,0.9166792153737087,283.85122489824334,0.3971711697387962,0.7345451957743364,0.7907497853436938,0.999664,40.0,6.918479023701505,0.1445404396796137,7.186953313177925e+74,7.186953313177925e+74,2.4757816280152474,0.0856426695248862,66.57133056704424,-3.803648095805437e+23,-3.803648095805437e+23,0.0,,,1.7021409465572069e+100,6.15509867491283e+73,,7.186953313177925e+74,1.1048272783046624e+74,-1.1705914677163376e+97,0.07724057013989283,0.012827828958032148,,1.1705914677163376e+97,-1.1705914677163376e+97,0.0
6.5,6.5,301.35921120210173,264.8531205312383,11.634040516629534,2.3044257112457203,0.0022261026557568978,0,185.3415383648406,0.36218904945755315,1.3690748861784603,1.0068858367209073,284.8040405166295,0.7213013052566533,0.7101486108022755,0.8320656203673741,1e-05,-1.1705914677163376e+97,0.0001278629713647914,7820.872527254297,4.012861977685774e+288,4.012861977685774e+288,2.4735320303402375,0.09053793428613867,66.63187504701418,1.7021409465572069e+100,2.0,1.7021409465572069e+100,,,-5.287736024773871e+290,3.633162340350591e+287,,3.649545743650715e+288,5.4287146964348006e+287,40.0,0.07724057013989283,0.012827828958032148,,-3.633162340350591e+287,3.633162340350591e+287,3.633162340350591e+287
7.5,7.5,496.87832926664043,277.2756261942965,14.685925119656481,2.488462563738112,0.0024931712948481673,0,171.63441097871498,0.4056413746601842,1.671167695765439,1.265526321105255,287.8559251196565,0.8556070264768257,0.6419129999394806,0.9338462340635472,0.999664,40.0,15.381588638204411,0.06501279051997429,inf,inf,2.466326530792491,0.10785478536237894,66.8265434899484,-5.287736024773871e+290,-5.287736024773871e+290,0.0,,,inf,inf,,,,-inf,0.07724057013989283,0.012827828958032148,,inf,-inf,
8.5,8.5,672.1759755206294,279.831242576854,15.301002303447607,2.671194253029934,0.002143981003194883,0,159.89320353070835,0.34882777736868514,1.7386758200532408,1.3898480426845556,288.4710023034476,0.924826174148243,0.6100185249491691,0.9487204496615581,1e-05,-inf,0.00016056935134027363,6227.838573507286,,,2.46487433356156,0.11166586372550318,66.86591479585533,inf,2.0,inf,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
9.5,9.5,815.3059047139755,288.53636638788475,17.36500894135059,3.091049369597625,0.002298907857502239,0,138.17501932211843,0.37403452601161835,1.9830083097039912,1.608973783692373,290.5350089413506,0.9636180397595431,0.5552321845020192,0.9848095477019464,,,,,,,2.460001213889471,0.12530198022045938,66.99837229341435,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
10.5,10.5,916.5140484190015,295.69369498004824,19.027323198928393,3.290883037358367,0.0026948602612739637,0,129.78455980392937,0.43845636405293426,2.2011418114639754,1.7626854474110412,292.1973231989284,0.9850452483425146,0.517889707388589,0.9983892748825538,,,,,,,2.4560764899273297,0.13728723964768802,67.10543333904661,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
11.5,11.5,968.9032386939596,301.1623699719542,20.277218744483385,3.2794186814697035,0.002670518137046355,0,130.23826716092321,0.43449587695995356,2.3787099798668274,1.9442141029068738,293.4472187444834,0.9946793266924668,0.4749456714884874,0.9994999884864568,,,,,,,2.4531254865442746,0.14692596430334323,67.18615825992453,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
12.5,12.5,968.9032386939596,306.7354897278417,21.533593608854883,3.8753851469743967,0.0025851455749109358,0,110.20989918981995,0.42060567874756705,2.569695629657963,2.149089950910396,294.7035936088549,0.9946793266924668,0.4279825497954854,0.9927444220396722,,,,,,,2.4501591854894933,0.15718545474562626,67.2674976166869,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
13.5,13.5,916.5140484190015,314.90168678834135,23.343971996674878,4.46956341109693,0.0025964207964757975,0,95.55873070496443,0.42244016817258956,2.8684210860477264,2.445980917875137,296.5139719966749,0.9850452483425146,0.36275748857390966,0.9691300020164613,,,,,,,2.4458848821158505,0.17302923586552296,67.38505085645785,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
14.5,14.5,815.3059047139755,312.54902421933116,22.826052683540077,3.651549921518903,0.0023682714644228126,0,116.96562159887281,0.3853200517678274,2.7800147517139036,2.394694699946076,295.9960526835401,0.9636180397595431,0.3737854185296014,0.9775591707936306,,,,,,,2.4471076896141617,0.1683648210329199,67.35137888288224,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
15.5,15.5,672.1759755206294,313.851171753007,23.11306962286515,4.781854735309562,0.0023336989490540935,0,89.3180219833935,0.3796950701676435,2.828708598922256,2.4490135287546124,296.2830696228652,0.924826174148243,0.3621085246887732,0.9730536346285497,,,,,,,2.446430042620415,0.17093642274239654,67.37003482588062,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
16.5,16.5,496.87832926664043,304.3749039473812,21.00354305702307,4.00620264531068,0.0025278016775938496,0,106.61113383011404,0.4112757713384206,2.4875466965330943,2.076270925194674,294.1735430570231,0.8556070264768257,0.4444919441066013,0.9965569917332822,,,,,,,2.4514106348423685,0.15278561604295876,67.23315744325147,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
17.5,17.5,301.35921120210173,301.016300991639,20.24405604954603,4.593790565105756,0.0024109986489172517,0,92.9745926194485,0.39227180590100624,2.3738416767668085,1.9815698708658023,293.41405604954605,0.7213013052566533,0.46626381355353785,0.9995713939695858,,,,,,,2.4532037836670217,0.1466630263217493,67.18401392812657,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
18.5,18.5,98.94292650391611,286.9111021555001,16.983234973123995,3.63231946358631,0.002202182028487658,0,117.58486847081394,0.35829714032628773,1.9356716016336275,1.5773744613073397,290.15323497312403,0.3971711697387962,0.5630201340111545,0.9797398222043897,,,,,,,2.4609025822284543,0.12267842082295952,66.97383243068886,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
19.5,19.5,0.0,278.904946614216,15.078553143225541,3.5097601594073122,0.002243280957156949,0,121.69088113470936,0.36498397566605023,1.7139898351466933,1.349005859480643,288.24855314322554,1e-05,0.6204317205087916,0.9435593819181202,,,,,,,2.4653995360288445,0.1102745523666589,66.85167039330929,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
20.5,20.5,0.0,274.0283627743941,13.898220659485103,3.847658285607648,0.002475947558665807,0,111.00408993370948,0.40283905616877763,1.588076813570444,1.1852377574016664,287.0682206594851,1e-05,0.6628229907675286,0.9120349846386021,,,,,,,2.4681863010229557,0.10313601368150709,66.77618991001972,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
21.5,21.5,0.0,276.19628197022314,14.424874646126078,3.507025565728604,0.002078406146473044,0,121.78576926941797,0.33815868492455314,1.6432181394554763,1.305059454530923,287.5948746461261,1e-05,0.6317071708763571,0.9269615497722731,,,,,,,2.466942870960496,0.10627103443585843,66.80984756904702,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
22.5,22.5,0.0,272.6487277091141,13.561435835999358,2.9862392390242243,0.002035323531224657,0,143.02464477338182,0.33114910186484775,1.553672233502556,1.222523131637708,286.7314358359994,1e-05,0.6530820919276197,0.901762758304518,,,,,,,2.4689814499912055,0.1011727491136489,66.75468427314635,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
23.5,23.5,0.0,269.7788904482391,12.856759928793041,3.0955206198304084,0.0021927205314559695,0,137.97543574210573,0.35675774563238605,1.4837945875204455,1.1270368418880594,286.02675992879307,1e-05,0.6781337183568529,0.8784348072732848,,,,,,,2.4706451898081196,0.09716754948521325,66.70973147027165,,,,,,,,,,,,0.07724057013989283,0.012827828958032148,,,,
