Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SMlast,gs,rs,Lu,Rn,lambda,delta,psyc,Cinterim,Cactual,Dcanopy,C/S,lambda*EI (C=Cactual),Cfinal,lambda*ET,lambda*Etotal,H,Tsurface,SMnew
0.5,0.5,0.0,269.13079387712315,12.69684511029523,2.429278260564434,0.002443526019632391,0,24.582643849561617,0.39756404049324434,1.4683266562373942,1.0707626157441499,285.8468451102952,0.0001,0.6930599959727758,1.3576577444852405,0.9816550215888635,40.0,0.0013855151679885165,721.7531955653684,-350.0,,,,,0.0,,,,,,,,,,
1.5,1.5,0.0,271.0083791434097,13.159340491112538,2.393032022619594,0.0020294748768538806,0,24.954986697405783,0.33019752015693365,1.5134538395705954,1.1832563194136618,286.3093404911125,0.0001,0.6633421247712207,1.3345329754443753,0.9816550215888635,40.0,0.0013035180176847458,767.1547200982754,-350.0,,,,,,,,,,,,,,,
2.5,2.5,0.0,265.3830894145385,11.766408901132301,2.329627036827709,0.002357536563381216,0,25.634181500682235,0.38357347301314965,1.3811059319616334,0.9975324589484837,284.9164089011323,0.0001,0.712663884229276,1.4041795549433858,0.9816550215888635,40.0,0.0014735251321531969,678.6446855770586,,,,,,,,,,,,,,,,
3.5,3.5,0.0,265.0976441601468,11.69513894648815,2.306167636287055,0.0021932738407348766,0,25.89494421449975,0.35684776958580305,1.3746166711316676,1.0177689015458646,284.84513894648813,0.0001,0.7072261644275433,1.4077430526755932,0.9816550215888635,40.0,0.0014659928890427105,682.1315488460502,,,,,,,,,,,,,,,,
4.5,4.5,0.0,265.21156543289123,11.723589701440986,2.213614467920855,0.0021449197256135657,0,26.977634613595757,0.34898050841172484,1.3772039456396203,1.0282234372278956,284.87358970144095,0.0001,0.7044230300714662,1.4063205149279527,0.9816550215888635,40.0,0.00145870680801101,685.5387213579469,,,,,,,,,,,,,,,,
5.5,5.5,98.94292650391611,261.0616766418051,10.681224898243343,2.2298279453050136,0.0022647485352766663,0,26.78147541234143,0.368476771334403,1.2851559867081117,0.9166792153737087,283.8312248982433,0.3971711697387962,0.7345451957743364,1.4584387550878348,0.9816550215888635,40.0,6.265194910662509,0.15961195369965842,,,,,,,,,,,,,,,,
6.5,6.5,301.35921120210173,264.8531205312383,11.634040516629534,2.3044257112457203,0.0022261026557568978,0,25.91451831122635,0.36218904945755315,1.3690748861784603,1.0068858367209073,284.7840405166295,0.7213013052566533,0.7101486108022755,1.4107979741685257,0.9816550215888635,40.0,10.640963141108909,0.0939764555838682,,,,,,,,,,,,,,,,
7.5,7.5,496.87832926664043,277.2756261942965,14.685925119656481,2.488462563738112,0.0024931712948481673,0,23.997982996067616,0.4056413746601842,1.671167695765439,1.265526321105255,287.83592511965645,0.8556070264768257,0.6419129999394806,1.2582037440171774,0.9816550215888635,40.0,10.175403460648425,0.09827620141720407,,,,,,,,,,,,,,,,
8.5,8.5,672.1759755206294,279.831242576854,15.301002303447607,2.671194253029934,0.002143981003194883,0,22.356323289929154,0.34882777736868514,1.7386758200532408,1.3898480426845556,288.4510023034476,0.924826174148243,0.6100185249491691,1.227449884827621,0.9816550215888635,40.0,10.196639316877091,0.09807152816956445,,,,,,,,,,,,,,,,
9.5,9.5,815.3059047139755,288.53636638788475,17.36500894135059,3.091049369597625,0.002298907857502239,0,19.319679225541382,0.37403452601161835,1.9830083097039912,1.608973783692373,290.5150089413506,0.9636180397595431,0.5552321845020192,1.1242495529324712,0.9816550215888635,40.0,8.85711797267034,0.11290354301315794,,,,,,,,,,,,,,,,
10.5,10.5,916.5140484190015,295.69369498004824,19.027323198928393,3.290883037358367,0.0026948602612739637,0,18.146522259531434,0.43845636405293426,2.2011418114639754,1.7626854474110412,292.1773231989284,0.9850452483425146,0.517889707388589,1.0411338400535812,0.9816550215888635,40.0,7.820781894431459,0.12786445313249542,,,,,,,,,,,,,,,,
11.5,11.5,968.9032386939596,301.1623699719542,20.277218744483385,3.2794186814697035,0.002670518137046355,0,18.209959779876225,0.43449587695995356,2.3787099798668274,1.9442141029068738,293.42721874448335,0.9946793266924668,0.4749456714884874,0.9786390627758323,0.9816550215888635,40.0,6.80768926213922,0.1468927210825372,,,,,,,,,,,,,,,,
12.5,12.5,968.9032386939596,306.7354897278417,21.533593608854883,3.8753851469743967,0.0025851455749109358,0,15.409586409124092,0.42060567874756705,2.569695629657963,2.149089950910396,294.68359360885484,0.9946793266924668,0.4279825497954854,0.9158203195572582,0.9816550215888635,40.0,5.74076250117055,0.1741928881043413,,,,,,,,,,,,,,,,
13.5,13.5,916.5140484190015,314.90168678834135,23.343971996674878,4.46956341109693,0.0025964207964757975,0,13.361054939431297,0.42244016817258956,2.8684210860477264,2.445980917875137,296.4939719966749,0.9850452483425146,0.36275748857390966,0.8253014001662563,0.9816550215888635,40.0,4.3424547381444984,0.23028449582120303,,,,,,,,,,,,,,,,
14.5,14.5,815.3059047139755,312.54902421933116,22.826052683540077,3.651549921518903,0.0023682714644228126,0,16.354173864367606,0.3853200517678274,2.7800147517139036,2.394694699946076,295.97605268354005,0.9636180397595431,0.3737854185296014,0.8511973658229977,0.9816550215888635,40.0,4.514479650512177,0.22150947117162173,,,,,,,,,,,,,,,,
15.5,15.5,672.1759755206294,313.851171753007,23.11306962286515,4.781854735309562,0.0023336989490540935,0,12.488476876968969,0.3796950701676435,2.828708598922256,2.4490135287546124,296.26306962286515,0.924826174148243,0.3621085246887732,0.8368465188567428,0.9816550215888635,40.0,4.126623309562042,0.24232887883971407,,,,,,,,,,,,,,,,
16.5,16.5,496.87832926664043,304.3749039473812,21.00354305702307,4.00620264531068,0.0025278016775938496,0,14.906405785747992,0.4112757713384206,2.4875466965330943,2.076270925194674,294.15354305702306,0.8556070264768257,0.4444919441066013,0.9423228471488472,0.9816550215888635,40.0,5.277012334568936,0.18950116781974266,,,,,,,,,,,,,,,,
17.5,17.5,301.35921120210173,301.016300991639,20.24405604954603,4.593790565105756,0.0024109986489172517,0,12.99973985417492,0.39227180590100624,2.3738416767668085,1.9815698708658023,293.394056049546,0.7213013052566533,0.46626381355353785,0.9802971975226996,0.9816550215888635,40.0,4.854632311897574,0.20598882381869224,,,,,,,,,,,,,,,,
18.5,18.5,98.94292650391611,286.9111021555001,16.983234973123995,3.63231946358631,0.002202182028487658,0,16.440757177227017,0.35829714032628773,1.9356716016336275,1.5773744613073397,290.133234973124,0.3971711697387962,0.5630201340111545,1.1433382513438004,0.9816550215888635,40.0,3.764666650240379,0.2656277681149136,,,,,,,,,,,,,,,,
19.5,19.5,0.0,278.904946614216,15.078553143225541,3.5097601594073122,0.002243280957156949,0,17.01486129497308,0.36498397566605023,1.7139898351466933,1.349005859480643,288.2285531432255,0.0001,0.6204317205087916,1.2385723428387252,0.9816550215888635,40.0,0.0011315285683153574,883.7602761447024,,,,,,,,,,,,,,,,
20.5,20.5,0.0,274.0283627743941,13.898220659485103,3.847658285607648,0.002475947558665807,0,15.520630434962586,0.40283905616877763,1.588076813570444,1.1852377574016664,287.0482206594851,0.0001,0.6628229907675286,1.2975889670257459,0.9816550215888635,40.0,0.0012664407019643388,789.6145460651489,,,,,,,,,,,,,,,,
21.5,21.5,0.0,276.19628197022314,14.424874646126078,3.507025565728604,0.002078406146473044,0,17.028128586947233,0.33815868492455314,1.6432181394554763,1.305059454530923,287.57487464612603,0.0001,0.6317071708763571,1.2712562676936985,0.9816550215888635,40.0,0.0011824943261525638,845.6700196217105,,,,,,,,,,,,,,,,
22.5,22.5,0.0,272.6487277091141,13.561435835999358,2.9862392390242243,0.002035323531224657,0,19.997755541666294,0.33114910186484775,1.553672233502556,1.222523131637708,286.71143583599934,0.0001,0.6530820919276197,1.3144282082000331,0.9816550215888635,40.0,0.0012640224792247856,791.125170980576,,,,,,,,,,,,,,,,
23.5,23.5,0.0,269.7788904482391,12.856759928793041,3.0955206198304084,0.0021927205314559695,0,19.291773380017013,0.35675774563238605,1.4837945875204455,1.1270368418880594,286.00675992879303,0.0001,0.6781337183568529,1.3496620035603484,0.9816550215888635,40.0,0.0013476915711324027,742.0095379536627,,,,,,,,,,,,,,,,
24.5,0.5,0.0,265.69332199518436,11.843802584848534,2.411089447796404,0.0024674783248215264,0,24.768090767232586,0.4014611036526342,1.3881832336976825,0.9867221300450483,284.99380258484854,0.0001,0.7155750967526623,1.4003098707575732,0.9816550215888635,40.0,0.0014754670648958687,677.7514888619863,,,,,,,,,,,,,,,,
25.5,1.5,0.0,270.9902069554572,13.154875768886653,2.3352274165732876,0.0020462589950241963,0,25.572705196553546,0.3329283123737117,1.513012448403007,1.1800841360292953,286.30487576888663,0.0001,0.6641735430330585,1.3347562115556684,0.9816550215888635,40.0,0.0013053701395005933,766.0662441555302,,,,,,,,,,,,,,,,
26.5,2.5,0.0,265.71515689178,11.849247180343216,2.238834361221276,0.0023051170087528268,0,26.67373849772523,0.3750447609096239,1.388682314516983,1.0136375536073592,284.9992471803432,0.0001,0.7083350317541199,1.4000376409828392,0.9816550215888635,40.0,0.0014602546058240485,684.8120841472585,,,,,,,,,,,,,,,,
27.5,3.5,0.0,262.49325954707354,11.04220341783844,2.207183468369386,0.0023784680667895777,0,27.056238480735047,0.3869790488088509,1.3164012807508754,0.9294222319420244,284.1922034178384,0.0001,0.7310800628131323,1.4403898291080794,0.9816550215888635,40.0,0.0015505834281201514,644.918539605669,,,,,,,,,,,,,,,,
28.5,4.5,0.0,260.0215370274312,10.418017833014291,2.3048536602262777,0.002301629722466132,0,25.909706686139565,0.3744773760668369,1.2627863126709666,0.8883089366041297,283.56801783301427,0.0001,0.7422819190326966,1.4715991083492865,0.9816550215888635,40.0,0.001608453645907118,621.7151501658793,,,,,,,,,,,,,,,,
29.5,5.5,98.94292650391611,266.9568321226208,12.158311932977485,2.1916861393803444,0.0023609256664384654,0,27.247552109729604,0.38412488334979533,1.4172725446034122,1.0331476612536168,285.30831193297746,0.3971711697387962,0.7031041557042621,1.384584403351127,0.9816550215888635,40.0,5.693337999646484,0.1756438841435539,,,,,,,,,,,,,,,,
30.5,6.5,301.35921120210173,269.03431915514886,12.673015731416598,2.293972694349259,0.002220462885974997,0,26.03260380476259,0.36127145347374545,1.466033896575822,1.1047624431020764,285.8230157314166,0.7213013052566533,0.684027431025751,1.3588492134291699,0.9816550215888635,40.0,9.872147947708736,0.1012950783656047,,,,,,,,,,,,,,,,
31.5,7.5,496.87832926664043,272.2773912659175,13.470570081256357,2.4859950467857805,0.0022906948243341246,0,24.021802605017,0.3726982575926261,1.5445025468806344,1.1718042892880083,286.62057008125635,0.8556070264768257,0.6663454637440632,1.3189714959371825,0.9816550215888635,40.0,11.072848292859177,0.09031099980344667,,,,,,,,,,,,,,,,
32.5,8.5,672.1759755206294,279.5161695717117,15.225399858622021,2.674098349288928,0.00244533603741131,0,22.332044110052166,0.39785853213187233,1.730251204471361,1.3323926723394885,288.375399858622,0.924826174148243,0.6246855840245523,1.231230007068899,0.9816550215888635,40.0,10.47396068230882,0.0954748667033917,,,,,,,,,,,,,,,,
