Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
0.5,0.5,0,269.131,12.697,2.429,2.444,0,94.26413962326832,0.3976411575562701,1.4683415693463617,1.0707004117900916,0.0,0.6930765616447838,0.8728007775000006,2471022.383,0.09627853068977467,0.06669954845585793,0.62540473638255,0.0001,1000000.0,-319.0,-49.86900000000003,0.0,0.0,0.0,0.0,0.0,0.013212792302424786,0.013212792302424786,-49.882212792302454,282.09321058646447,10.0,9.999980750456727
1.5,1.5,0,271.0,13.16,2.39,2.03,0,95.80234106481956,0.3302829581993569,1.513519049488702,1.1832360912893451,0.0,0.6633474252810352,0.8887777500000014,2469929.2399999998,0.09887422513978418,0.06672906838837943,0.6254040153030822,0.0001,1000000.0,-319.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.015276455235402444,0.015276455235402444,-48.0152764552354,282.6381759153075,9.999980750456727,9.999958484539972
2.5,2.5,0,265.4,11.77,2.33,2.36,0,98.2693541394501,0.3839742765273311,1.3814336190766106,0.9974593425492795,0.0,0.7126835594981092,0.8375909999999999,2473211.03,0.09125551775737312,0.06664052325952065,0.6254031812298525,0.0001,1000000.0,-342.41817648691904,-77.01817648691906,0.0,0.0,0.0,0.0,0.0,0.008283638942890005,0.008283638942890005,-77.02646012586195,278.86503913497177,9.999958484539972,9.99994642689514
3.5,3.5,0,265.1,11.7,2.31,2.19,0,99.12017105840638,0.35631511254019294,1.3750584263039283,1.0187433137637354,0.0,0.7069647235219612,0.8347577500000001,2473376.3,0.09088546041182397,0.06663607036681722,0.6254027295540405,0.0001,1000000.0,-334.7443978742306,-69.64439787423055,0.0,0.0,0.0,0.0,0.0,0.009631364849903764,0.009631364849903764,-69.65402923908046,279.3289288091519,9.99994642689514,9.999932408440504
4.5,4.5,0,265.2,11.72,2.21,2.14,0,103.60524667190893,0.3481800643086817,1.376877267230389,1.0286972029217074,0.0,0.7042960994737157,0.8355697500000018,2473329.08,0.0909910603660016,0.06663734256115163,0.6254022044261882,0.0001,1000000.0,-326.8353607581977,-61.63536075819769,0.0,0.0,0.0,0.0,0.0,0.010512557231993165,0.010512557231993165,-61.64587331542968,279.764087343277,9.999932408440504,9.99991710711795
5.5,5.5,99,261.1,10.68,2.23,2.26,0,102.67605163449272,0.36770418006430866,1.2850510825388508,0.9173469024745422,0.39732441471571905,0.7343634823904286,0.7906937500000011,2475784.52,0.08563652471895832,0.06657125280451225,0.6254016312415799,4.328574486467292,231.02293910532578,-328.94593923393955,8.384060766060472,0.0,0.0,0.0,0.0,0.0,39.239585996761456,39.239585996761456,-30.855525230700984,281.30734435926706,9.99991710711795,9.94285943168328
6.5,6.5,301,264.9,11.63,2.3,2.23,0,99.55112832387773,0.3628231511254019,1.368709093821784,1.0058859426963822,0.7209580838323353,0.7104173396567803,0.8319000000000004,2473541.5700000003,0.09051668254549866,0.06663161806915499,0.6232581507417703,7.966799997897919,125.52091181702255,-333.6406968754805,163.0293031245195,0.0,0.0,0.0,0.0,0.0,113.39522174800703,113.39522174800703,49.634081376512455,288.7656247677357,9.94285943168328,9.77782367758725
7.5,7.5,497,277.3,14.69,2.49,2.49,0,91.95485748791917,0.40512540192926044,1.6716072601408933,1.2664818582116328,0.8556671449067432,0.6416656191754333,0.9339510000000004,2466316.9099999997,0.10787966513576622,0.06682680417190102,0.6169889735966565,9.491533298835504,105.35705544252664,-355.92154512152075,304.06845487847926,0.0,0.0,0.0,0.0,0.0,198.84202387450486,198.84202387450486,105.2264310039744,295.6257777886924,9.77782367758725,9.487580650405388
8.5,8.5,672,279.8,15.3,2.67,2.14,0,85.75565361232913,0.3481800643086817,1.7385638954612772,1.3903838311525956,0.9247706422018349,0.609882340596834,0.9486977500000006,2464876.7,0.11165956151981879,0.06686585060032334,0.605709447249485,9.722849541905067,102.85050649915362,-392.9713575873175,404.26864241268254,0.0,0.0,0.0,0.0,0.0,252.55857412138158,252.55857412138158,151.71006829130096,298.9114931627795,9.487580650405388,9.118713977749115
9.5,9.5,815,288.5,17.37,3.09,2.3,0,74.09954535434265,0.3742122186495177,1.9836338117057988,1.6094215930562812,0.9635467980295567,0.5551220903514422,0.9848710000000003,2459989.4299999997,0.12533659145802287,0.06699869323032744,0.5908938129786376,9.338376280566488,107.08499742948221,-420.70977419814125,495.3402258018588,0.0,0.0,0.0,0.0,0.0,308.29741698605307,308.29741698605307,187.04280881580576,301.66351390865935,9.118713977749115,8.667545087503196
