Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
10.5,10.5,917,295.7,19.03,3.29,2.69,0,11.050846904814822,0.4376655948553055,2.2015093442716647,1.7638437494163592,0.9851387645478962,0.5176117196039258,0.9984000000000002,2456070.17,0.13730729521882104,0.06710560601386158,0.9792257138433387,7.477908558046961,133.72723031279946,-395.22842343938083,707.4315765606192,0.0,0.0,0.0,0.0,0.0,291.2155907147637,291.2155907147637,416.21598584585547,295.8914735583104,38.756399015200884,38.329547966978126
11.5,11.5,969,301.2,20.28,3.28,2.67,0,11.08453851123194,0.434411575562701,2.379118666258807,1.944707090696106,0.9946963216424294,0.474830750859766,0.9994937499999998,2453118.92,0.14694803423283287,0.0671863381048066,0.9783197635195182,6.927579487478988,144.35056310900725,-407.32990030347815,746.5900996965219,0.0,0.0,0.0,0.0,0.0,301.4562495552094,301.4562495552094,445.13385014131245,297.4099862796205,38.329547966978126,37.887155024038876
12.5,12.5,969,306.7,21.53,3.88,2.59,0,9.370434617742465,0.42139549839228296,2.5691307972882296,2.1477352988959466,0.9946963216424294,0.42828783460729397,0.9927749999999996,2450167.67,0.15715526838350288,0.06726726468087714,0.9773391134559919,6.200313110361918,161.2821775611311,-417.16265082206195,742.2573491779381,0.0,0.0,0.0,0.0,0.0,291.00755867694227,291.00755867694227,451.2497905009958,298.0936120339326,37.887155024038876,37.45958134242345
13.5,13.5,917,314.9,23.34,4.47,2.6,0,8.133621099964376,0.42302250803858527,2.867733857683608,2.4447113496450226,0.9851387645478962,0.36302927373755867,0.9691997500000002,2445894.26,0.17299305329432613,0.0673847924932037,0.9763491809437289,5.076317462920933,196.99319581651935,-423.3774040447476,698.4825959552525,0.0,0.0,0.0,0.0,0.0,264.54551824436163,264.54551824436163,433.93707771089083,299.3426710257114,37.45958134242345,37.070208882111245
14.5,14.5,815,312.5,22.83,3.65,2.37,0,9.960900360778291,0.3856012861736335,2.780679438038607,2.3950781518649733,0.9635467980295567,0.373702595094731,0.9775,2447098.37,0.16839996528800782,0.06735163538620559,0.9754101195921453,5.149845598758015,194.18057897525497,-428.90829800071833,600.7917019992817,0.0,0.0,0.0,0.0,0.0,258.77383756733536,258.77383756733536,342.01786443194635,298.7342160604923,37.070208882111245,36.68951890795119
15.5,15.5,672,313.9,23.11,4.78,2.33,0,7.606126844527357,0.37909324758842444,2.8281839091579006,2.449090661569476,0.9247706422018349,0.36209202320132033,0.9731039999999994,2446437.29,0.17090874534705608,0.06736983524740911,0.9744559607957165,4.762837068819096,209.95889331312802,-430.74223339048046,474.5177666095195,0.0,0.0,0.0,0.0,0.0,229.8884974751908,229.8884974751908,244.62926913432872,297.7733356214093,36.68951890795119,36.351231638421105
16.5,16.5,497,304.4,21.0,4.01,2.53,0,9.066654941855553,0.41163344051446943,2.4870053972720654,2.075371956757596,0.8556671449067432,0.4446970156944393,0.9965777499999998,2451419.0,0.15275655991910123,0.06723292801859576,0.9735770561712622,5.537858413523415,180.5752197560715,-426.2429682669935,315.5170317330065,0.0,0.0,0.0,0.0,0.0,213.8553027815966,213.8553027815966,101.66172895140988,294.90975859934264,36.351231638421105,36.03717717037066
17.5,17.5,301,301.0,20.24,4.59,2.41,0,7.920977411076419,0.39210932475884247,2.3732468446120074,1.9811375198531649,0.7209580838323353,0.4663639929839074,0.9995797499999999,2453213.36,0.1466308943453605,0.0671837516694504,0.9727340638247217,4.903857716478887,203.92108780799398,-415.4680812592714,150.4119187407286,0.0,0.0,0.0,0.0,0.0,171.70381309164256,171.70381309164256,-21.291894350913964,293.2746436855893,36.03717717037066,35.78520816628456
18.5,18.5,99,286.9,16.98,3.63,2.2,0,10.015781354501588,0.35794212218649524,1.9352747593150887,1.5773326371285936,0.39732441471571905,0.5630304671163917,0.9796937500000005,2460910.2199999997,0.1226563906999665,0.0669736245682372,0.9720383182396675,3.195524344969905,312.9376878552361,-402.95897455441053,-28.93897455441055,0.0,0.0,0.0,0.0,0.0,84.42561277401639,84.42561277401639,-113.36458732842694,289.23872870566794,35.78520816628456,35.6617041865309
19.5,19.5,0,278.9,15.08,3.51,2.24,0,10.358201229869165,0.3644501607717042,1.7141493997997348,1.3496992390280305,0.0,0.6202544062992187,0.94359375,2465396.1199999996,0.11028355393651114,0.0668517630223325,0.9716908390052572,0.0001,1000000.0,-387.7353064020265,-108.8353064020265,0.0,0.0,0.0,0.0,0.0,0.0232954540047577,0.0232954540047577,-108.85860185603126,287.3450334243237,35.6617041865309,35.66167017023886
